Gene.names	RBC	Plasma	Matrisome.1	Matrisome.2	Matrisome.3	Plasma.1	Subcellular.location..CC.
PYGB	RBC	NA	NA	NA	NA	NA	NA
PSEN1	NA	NA	NA	NA	Protease	NA	Endoplasmic reticulum
SLC25A15	NA	NA	NA	NA	NA	NA	Mitochondrion inner membrane
SLC16A2	NA	NA	NA	NA	NA	NA	Cell membrane
EVA1C	NA	NA	NA	NA	NA	NA	Cell membrane
TOMM34	NA	NA	NA	NA	NA	NA	Cytoplasm
KIF4A	NA	NA	NA	NA	NA	NA	Nucleus
PCDH20	NA	NA	NA	NA	NA	NA	Cell membrane
TMEM63C	NA	NA	NA	NA	NA	NA	Cell membrane
MRPL39	NA	NA	NA	NA	NA	NA	Mitochondrion
PSMC6	RBC	NA	NA	NA	NA	NA	Cytoplasm
RNF4	NA	NA	NA	NA	NA	NA	Cytoplasm Nucleus Nucleus
PHACTR3	NA	NA	NA	NA	NA	NA	Nucleus matrix
CHAF1B	NA	NA	NA	NA	NA	NA	Nucleus
LTBP2	NA	NA	Core matrisome	ECM Glycoproteins	Signalling	NA	Secreted
DEFB127	NA	NA	NA	NA	NA	NA	Cytoplasmic vesicle
DEFB121	NA	NA	NA	NA	NA	NA	Cytoplasmic vesicle
BIK	NA	NA	NA	NA	NA	NA	Endomembrane system
RIBC2	NA	NA	NA	NA	NA	NA	NA
PNPLA3	NA	NA	NA	NA	NA	NA	Membrane
NFATC2	NA	NA	NA	NA	NA	NA	Cytoplasm
EIF4ENIF1	NA	NA	NA	NA	NA	NA	Cytoplasm
DEFB119	NA	NA	NA	NA	NA	NA	Secreted
APP	NA	NA	NA	NA	NA	NA	Cell membrane
PVALB	NA	NA	NA	NA	NA	NA	NA
CHM	NA	NA	NA	NA	NA	NA	Cytoplasm
AIRE	NA	NA	NA	NA	NA	NA	Nucleus
BEX4	NA	NA	NA	NA	NA	NA	Cytoplasm
CORIN	NA	NA	NA	NA	Protease	NA	Cell membrane
EDNRB	NA	NA	NA	NA	NA	NA	Cell membrane
WDR44	NA	NA	NA	NA	NA	NA	Cytoplasm
RBL1	NA	NA	NA	NA	NA	NA	Nucleus
RAB22A	NA	NA	NA	NA	NA	NA	Endosome membrane
MC4R	NA	NA	NA	NA	NA	NA	Cell membrane
SYT4	NA	NA	NA	NA	NA	NA	Cytoplasmic vesicle
CHGB	NA	NA	NA	NA	NA	NA	Secreted Note=Neuroendocrine and endocrine secretory granules
SIX6	NA	NA	NA	NA	NA	NA	Nucleus
OPTN	NA	NA	NA	NA	NA	NA	Cytoplasm
DNAJB7	NA	NA	NA	NA	NA	NA	NA
CLCN5	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
LURAP1L	NA	NA	NA	NA	NA	NA	NA
CDX2	NA	NA	NA	NA	NA	NA	Nucleus
CLOCK	NA	NA	NA	NA	NA	NA	Nucleus
PRELID3B	NA	NA	NA	NA	NA	NA	NA
TRMT6	NA	NA	NA	NA	NA	NA	Nucleus
MBTPS2	NA	NA	NA	NA	Protease	NA	Membrane
RAB39B	NA	NA	NA	NA	NA	NA	Cell membrane
WFDC12	NA	NA	NA	NA	NA	NA	Secreted
P2RY10	NA	NA	NA	NA	NA	NA	Cell membrane
PI4KA	NA	NA	NA	NA	NA	NA	Cytoplasm
SLC35E4	NA	NA	NA	NA	NA	NA	Membrane
RNF152	NA	NA	NA	NA	NA	NA	Lysosome membrane
HMGN5	NA	NA	NA	NA	NA	NA	Nucleus
NOL12	NA	NA	NA	NA	NA	NA	Nucleus
GGTLC1	NA	NA	NA	NA	Protease	NA	Cell membrane
GGT2	NA	NA	NA	NA	Protease	NA	Cell membrane
GGTLC3	NA	NA	NA	NA	Protease	NA	Cell membrane
MGAT2	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
KLHL1	NA	NA	NA	NA	NA	NA	Cytoplasm
PKNOX1	NA	NA	NA	NA	NA	NA	Nucleus
SLC35F4	NA	NA	NA	NA	NA	NA	Membrane
BEX3	NA	NA	NA	NA	NA	NA	Nucleus Cytoplasm Note=Shuttles between the cytoplasm and the nucleus Associates with replicating mitochondria
EFNB1	NA	NA	NA	NA	NA	NA	Cell membrane
VGLL1	NA	NA	NA	NA	NA	NA	Nucleus
RTL3	NA	NA	NA	NA	NA	NA	Nucleus
SLC2A10	NA	NA	NA	NA	NA	NA	Endomembrane system
RBBP8	NA	NA	NA	NA	NA	NA	Nucleus
TCEAL8	NA	NA	NA	NA	NA	NA	Nucleus
TMEM184B	NA	NA	NA	NA	NA	NA	Membrane
DSTN	RBC	NA	NA	NA	NA	NA	NA
CYYR1	NA	NA	NA	NA	NA	NA	Membrane
RSPH1	NA	NA	NA	NA	NA	NA	Cytoplasm
CLDN8	NA	NA	NA	NA	NA	NA	Cell junction
FBXO7	RBC	NA	NA	NA	NA	NA	Cytoplasm
INSL6	NA	NA	Matrisome-associated	Secreted Factors	Signalling	NA	Secreted
S100B	NA	NA	Matrisome-associated	Secreted Factors	Signalling	NA	Cytoplasm
PPP6R2	NA	NA	NA	NA	NA	NA	Cytoplasm
TTLL12	RBC	NA	NA	NA	NA	NA	Cytoplasm
SS18	NA	NA	NA	NA	NA	NA	Nucleus
SLITRK4	NA	NA	NA	NA	NA	NA	Membrane
SIX1	NA	NA	NA	NA	NA	NA	Nucleus
OTC	NA	NA	NA	NA	NA	NA	Mitochondrion matrix
LDB2	NA	NA	NA	NA	NA	NA	Nucleus
ADA	NA	NA	NA	NA	NA	NA	Cell membrane
DNMT3L	NA	NA	NA	NA	NA	NA	Nucleus
LIF	NA	NA	Matrisome-associated	Secreted Factors	Signalling	NA	Secreted
AGPAT3	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
KATNAL1	NA	NA	NA	NA	NA	NA	Cytoplasm
MBP	NA	NA	NA	NA	NA	NA	Myelin membrane
TTC39C	NA	NA	NA	NA	NA	NA	NA
EXOC1	NA	NA	NA	NA	NA	NA	Midbody
PWWP3B	NA	NA	NA	NA	NA	NA	NA
CSTB	RBC	NA	Matrisome-associated	ECM Regulators	Protease Inhibitor	NA	Cytoplasm
PCBP3	NA	NA	NA	NA	NA	NA	Cytoplasm
AK3	NA	NA	NA	NA	NA	NA	Mitochondrion matrix
RPS4X	RBC	NA	NA	NA	NA	NA	Cytoplasm
SLC9A7	NA	NA	NA	NA	NA	NA	Golgi apparatus
FNDC3A	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
YES1	NA	NA	NA	NA	NA	NA	Cell membrane
SAMD10	NA	NA	NA	NA	NA	NA	NA
HS3ST1	NA	NA	NA	NA	NA	NA	Golgi apparatus lumen
AP5M1	NA	NA	NA	NA	NA	NA	Cytoplasm
CRYL1	RBC	NA	NA	NA	NA	NA	Cytoplasm
KCTD1	NA	NA	NA	NA	NA	NA	Nucleus
ZFP64	NA	NA	NA	NA	NA	NA	Nucleus
RBX1	RBC	NA	NA	NA	NA	NA	Cytoplasm
CFAP61	NA	NA	NA	NA	NA	NA	Cytoplasm
ARHGAP6	RBC	NA	NA	NA	NA	NA	Cytoplasm
CST9L	NA	NA	Matrisome-associated	ECM Regulators	Protease Inhibitor	NA	Secreted
APBB2	NA	NA	NA	NA	NA	NA	NA
UCN3	NA	NA	NA	NA	NA	NA	Secreted
KPNA3	RBC	NA	NA	NA	NA	NA	Cytoplasm
C2CD2	NA	NA	NA	NA	NA	comp	Membrane
TCEAL9	NA	NA	NA	NA	NA	NA	Nucleus
CXADR	NA	NA	NA	NA	NA	NA	Cell membrane
CCDC175	NA	NA	NA	NA	NA	NA	NA
TTC39B	NA	NA	NA	NA	NA	NA	NA
PMEPA1	NA	NA	NA	NA	NA	NA	Early endosome membrane
MZT1	NA	NA	NA	NA	NA	NA	Cytoplasm
HSPH1	RBC	NA	NA	NA	NA	NA	Cytoplasm
PRDM15	NA	NA	NA	NA	NA	NA	Nucleus
IL13RA2	NA	NA	NA	NA	NA	NA	Membrane
JAG1	NA	NA	NA	NA	NA	NA	Membrane
IL15RA	NA	NA	NA	NA	NA	NA	Membrane
DRD5	NA	NA	NA	NA	NA	NA	Cell membrane
GABRB1	NA	NA	NA	NA	NA	NA	Cell junction
ELFN2	NA	NA	Matrisome-associated	ECM-affiliated Proteins	NA	NA	Membrane
TCEAL5	NA	NA	NA	NA	NA	NA	Nucleus
REPS2	NA	NA	NA	NA	NA	NA	Cytoplasm
CDKL5	NA	NA	NA	NA	NA	NA	Nucleus
SLC19A1	NA	NA	NA	NA	NA	NA	Cell membrane
PAXBP1	NA	NA	NA	NA	NA	NA	Nucleus
CDC123	NA	NA	NA	NA	NA	NA	Cytoplasm
FAM83D	NA	NA	NA	NA	NA	NA	Cytoplasm
SDC4	NA	NA	Matrisome-associated	ECM-affiliated Proteins	Other ECM	NA	Membrane
CCDC3	NA	NA	NA	NA	NA	NA	Secreted
PRKX	NA	NA	NA	NA	NA	NA	Cytoplasm
MC2R	NA	NA	NA	NA	NA	NA	Cell membrane
SLIT2	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
NPEPL1	RBC	NA	NA	NA	Protease	NA	NA
CBR3	RBC	NA	NA	NA	NA	enzyme	Cytoplasm
TBC1D8B	NA	NA	NA	NA	NA	NA	Cytoplasm
RUNX1	NA	NA	NA	NA	NA	NA	Nucleus
TSC22D1	NA	NA	NA	NA	NA	NA	Cytoplasm Nucleus
TNRC6B	NA	NA	NA	NA	NA	NA	Cytoplasm
GABPA	NA	NA	NA	NA	NA	NA	Nucleus
CCNB3	NA	NA	NA	NA	NA	NA	Nucleus
CLEC14A	NA	NA	Matrisome-associated	ECM-affiliated Proteins	Other ECM	NA	Membrane
ERCC6L	NA	NA	NA	NA	NA	NA	Chromosome
YWHAB	RBC	NA	NA	NA	NA	NA	Cytoplasm
DHRS7	NA	NA	NA	NA	NA	NA	NA
KCNS1	NA	NA	NA	NA	NA	NA	Cell membrane
NPC1	NA	NA	NA	NA	NA	NA	Late endosome membrane
FLRT3	NA	NA	NA	NA	NA	NA	Cell membrane
WDR4	NA	NA	NA	NA	NA	NA	Nucleus
TUBB1	RBC	Plasma	NA	NA	NA	cytoskeletal	Cytoplasm
MORC4	NA	NA	NA	NA	NA	NA	Nucleus
RBM3	NA	NA	NA	NA	NA	NA	Nucleus
BOD1L2	NA	NA	NA	NA	NA	NA	Cytoplasm
DIAPH3	NA	NA	NA	NA	NA	NA	Cytoplasm
AKAP5	RBC	NA	NA	NA	NA	NA	Postsynaptic recycling endosome membrane
ZNF519	NA	NA	NA	NA	NA	NA	Nucleus
SLC25A5	RBC	NA	NA	NA	NA	NA	Mitochondrion inner membrane
SYNGR1	NA	NA	NA	NA	NA	NA	Cytoplasmic vesicle
BCL11B	NA	NA	NA	NA	NA	NA	Nucleus
FANCB	NA	NA	NA	NA	NA	NA	Nucleus
UHRF2	NA	NA	NA	NA	NA	NA	Nucleus
TGM2	RBC	NA	Matrisome-associated	ECM Regulators	Crosslinking Enzyme	NA	Cytoplasm
CD40LG	NA	NA	NA	NA	NA	NA	Cell membrane
FGFRL1	NA	NA	NA	NA	NA	NA	Cell membrane
KLF6	NA	NA	NA	NA	NA	NA	Nucleus
OPRL1	NA	NA	NA	NA	NA	NA	Cell membrane
DIP2A	NA	NA	NA	NA	NA	NA	Cell membrane
SLC25A21	NA	NA	NA	NA	NA	NA	Mitochondrion inner membrane
RNF128	NA	NA	NA	NA	NA	NA	Endomembrane system
KLHL14	NA	NA	NA	NA	NA	NA	Cytoplasm
CLDN14	NA	NA	NA	NA	NA	NA	Cell junction
UFM1	RBC	NA	NA	NA	NA	NA	Nucleus
GGT7	NA	NA	NA	NA	Protease	NA	Membrane
HSF2BP	NA	NA	NA	NA	NA	NA	Cytoplasm
NCOA6	NA	NA	NA	NA	NA	NA	Nucleus
SPO11	NA	NA	NA	NA	NA	NA	Nucleus
GPHB5	NA	NA	NA	NA	NA	NA	Secreted
SEMG2	NA	NA	NA	NA	NA	NA	Secreted
SEMG1	NA	NA	NA	NA	NA	NA	Secreted
CRLF2	NA	NA	NA	NA	NA	NA	Cell membrane
MNAT1	NA	NA	NA	NA	NA	NA	Nucleus
CD274	NA	NA	NA	NA	NA	NA	Cell membrane
TMEM50B	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
NUDT5	RBC	NA	NA	NA	NA	NA	Nucleus
RBBP9	NA	NA	NA	NA	NA	NA	NA
MAOB	NA	NA	NA	NA	NA	NA	Mitochondrion outer membrane
BACH1	NA	NA	NA	NA	NA	NA	Nucleus
CCNA1	NA	NA	NA	NA	NA	NA	Nucleus
AFF2	NA	NA	NA	NA	NA	NA	Nucleus speckle
MIS18A	NA	NA	NA	NA	NA	NA	Nucleus
OSBP2	NA	NA	NA	NA	NA	NA	Membrane
SCP2D1	NA	NA	NA	NA	NA	NA	NA
TXNDC16	NA	NA	NA	NA	NA	NA	Secreted
GLUD2	NA	NA	NA	NA	NA	NA	Mitochondrion
SLC14A2	NA	NA	NA	NA	NA	NA	Apical cell membrane
RNF114	RBC	NA	NA	NA	NA	NA	Cytoplasm
CDK5RAP1	NA	NA	NA	NA	NA	NA	Mitochondrion
CLIC6	NA	NA	NA	NA	NA	NA	Cytoplasm
PDXK	NA	NA	NA	NA	NA	NA	Cytoplasm
ACOX3	NA	NA	NA	NA	NA	NA	Peroxisome
FBLN1	NA	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
DRG1	NA	NA	NA	NA	NA	NA	Nucleus
CARD10	NA	NA	NA	NA	NA	NA	NA
ACAA2	RBC	NA	NA	NA	NA	NA	Mitochondrion
SPATA13	NA	NA	NA	NA	NA	NA	Cytoplasm
TXLNG	NA	NA	NA	NA	NA	NA	Nucleus membrane
PGRMC1	NA	NA	NA	NA	NA	NA	Microsome membrane
GRAP2	NA	NA	NA	NA	NA	NA	Nucleus
SALL4	NA	NA	NA	NA	NA	NA	Cytoplasm
SLC39A6	NA	NA	NA	NA	NA	NA	Cell membrane
CBS	NA	NA	NA	NA	NA	NA	Cytoplasm
CCBE1	NA	NA	Matrisome-associated	Secreted Factors	Signalling	NA	Secreted
DEPDC5	NA	NA	NA	NA	NA	NA	Cytoplasm
RPRD1A	NA	NA	NA	NA	NA	NA	NA
CHST9	NA	NA	NA	NA	NA	saccharide metabolism	Golgi apparatus membrane
BRWD1	NA	NA	NA	NA	NA	NA	Cytoplasm
SLC5A1	NA	NA	NA	NA	NA	NA	Membrane
TBC1D25	NA	NA	NA	NA	NA	NA	Cytoplasm
SUSD6	NA	NA	NA	NA	NA	NA	Membrane
AMELX	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
INPP5J	NA	NA	NA	NA	NA	NA	Cytoplasm
CNKSR2	NA	NA	NA	NA	NA	NA	Cytoplasm
IL2RA	NA	NA	NA	NA	NA	NA	Membrane
PCDH8	NA	NA	NA	NA	NA	NA	Cell membrane
FRMD4A	NA	NA	NA	NA	NA	NA	Cytoplasm
BORA	NA	NA	NA	NA	NA	NA	NA
RAX	NA	NA	NA	NA	NA	NA	Nucleus
SNRPB2	NA	NA	NA	NA	NA	NA	Nucleus
ANKRD54	NA	NA	NA	NA	NA	NA	Nucleus
PWP2	NA	NA	NA	NA	NA	NA	Nucleus
NDUFV2	NA	NA	NA	NA	NA	NA	Mitochondrion inner membrane
EOLA2	NA	NA	NA	NA	NA	NA	NA
EOLA1	NA	NA	NA	NA	NA	NA	NA
PTGIS	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
RPP38	NA	NA	NA	NA	NA	NA	Nucleus
PFKL	RBC	NA	NA	NA	NA	NA	Cytoplasm
LMAN1	RBC	NA	Matrisome-associated	ECM-affiliated Proteins	Other ECM	NA	Endoplasmic reticulum-Golgi intermediate compartment membrane
UBE2G2	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum
RBPJL	NA	NA	NA	NA	NA	NA	Nucleus
FUNDC1	NA	NA	NA	NA	NA	NA	Mitochondrion outer membrane
ZBTB14	NA	NA	NA	NA	NA	NA	Nucleus
CD226	NA	NA	NA	NA	NA	NA	Cell membrane
CNTLN	NA	NA	NA	NA	NA	NA	Cytoplasm
PCSK2	NA	NA	NA	NA	Protease	NA	Cytoplasmic vesicle
RNF125	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
SLC10A1	NA	NA	NA	NA	NA	NA	Membrane
SMAD2	NA	NA	NA	NA	NA	NA	Cytoplasm
GDF5	NA	NA	Matrisome-associated	Secreted Factors	Signalling	NA	Secreted
TRMT44	NA	NA	NA	NA	NA	NA	Cytoplasm
CRYAA	NA	NA	NA	NA	NA	NA	Cytoplasm
USP12	NA	NA	NA	NA	Protease	NA	NA
SPATA7	NA	NA	NA	NA	NA	NA	Cytoplasm
LRCH2	NA	NA	NA	NA	NA	NA	NA
GTSE1	NA	NA	NA	NA	NA	NA	Cytoplasm
SLAIN2	NA	NA	NA	NA	NA	NA	Cytoplasm
WAS	NA	NA	NA	NA	NA	NA	Cytoplasm
SEPHS1	NA	NA	NA	NA	NA	NA	Cell membrane
ELP2	NA	NA	NA	NA	NA	NA	Cytoplasm
CRMP1	NA	NA	NA	NA	NA	NA	Cytoplasm
EPG5	NA	NA	NA	NA	NA	NA	Cytoplasm
ADRA2C	NA	NA	NA	NA	NA	NA	Cell membrane
SPTLC3	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
ZBTB7C	NA	NA	NA	NA	NA	NA	NA
PDYN	NA	NA	NA	NA	NA	NA	Secreted
ZBTB33	NA	NA	NA	NA	NA	NA	Nucleus
SLX4IP	NA	NA	NA	NA	NA	NA	NA
PCMTD2	NA	NA	NA	NA	NA	NA	Cytoplasm
CDH4	NA	NA	NA	NA	NA	NA	Cell membrane
USP16	NA	NA	NA	NA	Protease	NA	Nucleus
ARL5B	NA	NA	NA	NA	NA	NA	NA
DEFB123	NA	NA	NA	NA	NA	NA	Secreted
DYM	NA	NA	NA	NA	NA	NA	Cytoplasm Golgi apparatus
HRH4	NA	NA	NA	NA	NA	NA	Cell membrane
ME2	NA	NA	NA	NA	NA	NA	Mitochondrion matrix
SIX4	NA	NA	NA	NA	NA	NA	Nucleus
ISCA2	NA	NA	NA	NA	NA	NA	Mitochondrion
F8	NA	NA	NA	NA	NA	coag	Secreted
MAGEE1	NA	NA	NA	NA	NA	NA	Cytoplasm
SERPINB8	NA	NA	Matrisome-associated	ECM Regulators	Protease Inhibitor	NA	Cytoplasm
DCAF12L2	NA	NA	NA	NA	NA	NA	NA
SYNJ1	NA	NA	NA	NA	NA	NA	Cytoplasm
DLG3	NA	NA	NA	NA	NA	NA	NA
GPR12	NA	NA	NA	NA	NA	NA	Cell membrane
PFKFB1	NA	NA	NA	NA	NA	NA	NA
ELF1	NA	NA	NA	NA	NA	NA	Nucleus
FGF16	NA	NA	Matrisome-associated	Secreted Factors	Signalling	NA	Secreted
CDH20	NA	NA	NA	NA	NA	NA	Cell membrane
CEP250	NA	NA	NA	NA	NA	NA	Cytoplasm
RBM11	NA	NA	NA	NA	NA	NA	Nucleus
GRP	NA	NA	NA	NA	NA	NA	Secreted
WDR1	RBC	NA	NA	NA	NA	NA	Cytoplasm
RNF165	NA	NA	NA	NA	NA	NA	Nucleus
MRC1	NA	NA	NA	NA	NA	NA	Endosome membrane
MAFF	NA	NA	NA	NA	NA	NA	Nucleus
GRPEL1	NA	NA	NA	NA	NA	NA	Mitochondrion matrix
AKAP4	NA	NA	NA	NA	NA	NA	Cell projection
BPIFB1	NA	NA	NA	NA	NA	NA	Secreted
SLC25A43	NA	NA	NA	NA	NA	NA	Mitochondrion inner membrane
SCAF4	NA	NA	NA	NA	NA	NA	Nucleus
EDN3	NA	NA	NA	NA	NA	NA	Secreted
SUV39H2	NA	NA	NA	NA	NA	NA	Nucleus Chromosome Chromosome
ITIH5	NA	NA	Matrisome-associated	ECM Regulators	Protease Inhibitor	NA	Secreted
RNF38	NA	NA	NA	NA	NA	NA	Nucleus
MYT1	NA	NA	NA	NA	NA	NA	Nucleus
IMPACT	NA	NA	NA	NA	NA	NA	Cytoplasm
MOSPD1	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
PRPF39	NA	NA	NA	NA	NA	NA	Nucleus
RPS6KA5	NA	NA	NA	NA	NA	NA	Nucleus
KIF3B	NA	NA	NA	NA	NA	NA	Cytoplasm
TMPRSS3	NA	NA	NA	NA	Protease	NA	Endoplasmic reticulum membrane
ASCC2	NA	NA	NA	NA	NA	NA	Nucleus
MTCP1	NA	NA	NA	NA	NA	NA	NA
SFI1	NA	NA	NA	NA	NA	NA	Cytoplasm
ZBED4	NA	NA	NA	NA	NA	NA	Cytoplasm
CDC37L1	NA	NA	NA	NA	NA	NA	Cytoplasm
TMEM47	NA	NA	NA	NA	NA	NA	Membrane
ERO1A	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
DENND6B	NA	NA	NA	NA	NA	NA	Recycling endosome
UNC79	NA	NA	NA	NA	NA	NA	Membrane
PIAS2	NA	NA	NA	NA	NA	NA	Nucleus speckle
SLC2A9	NA	NA	NA	NA	NA	NA	Basolateral cell membrane
SMC1B	NA	NA	NA	NA	NA	NA	Nucleus
MAGEH1	NA	NA	NA	NA	NA	NA	NA
POLR3F	NA	NA	NA	NA	NA	NA	Nucleus
ECHDC3	NA	NA	NA	NA	NA	NA	Mitochondrion
OCIAD2	NA	NA	NA	NA	NA	NA	Endosome
DLGAP1	NA	NA	NA	NA	NA	NA	Cell membrane
PHF20	NA	NA	NA	NA	NA	NA	Nucleus
CTPS2	NA	NA	NA	NA	NA	NA	NA
SNTA1	NA	NA	NA	NA	NA	NA	Cell membrane
ACSS2	NA	NA	NA	NA	NA	NA	Cytoplasm
IL13RA1	NA	NA	NA	NA	NA	NA	Membrane
TTC3	NA	NA	NA	NA	NA	NA	Nucleus
