Gene_Symbol	Protein_length	Division	Category	Secretome
SYNPO2	1093	Nucleus	Vesicles	Non-secretome
ACTR10	417	Cytoplasm	Vesicles	Non-secretome
GAD1	594	Membrane	Vesicles	Non-secretome
PCDHGB2	931	Vesicles	Vesicles	Non-secretome
REPS1	796	Membrane	Vesicles	Non-secretome
RSPH3	560	Cytoplasm	Vesicles	Non-secretome
SPATC1L	340	Other	Vesicles	Non-secretome
RNF39	420	Vesicles	Vesicles	Non-secretome
ZFP90	636	Nucleus	Vesicles	Non-secretome
ARPC5	151	Cytoplasm	Vesicles	Non-secretome
SNRK	765	Nucleus	Vesicles	Non-secretome
RND1	232	Cell membrane	Vesicles	Non-secretome
AAK1	961	Cell membrane	Vesicles	Non-secretome
ABCA12	2595	Cytoplasmic vesicle	Vesicles	Non-secretome
AC005726.1	0	Vesicles	Vesicles	Non-secretome
ACKR3	362	Cell membrane	Vesicles	Non-secretome
AMACR	382	Peroxisome	Vesicles	Non-secretome
CHIC2	165	Membrane	Vesicles	Non-secretome
CNGA1	690	Cell membrane	Vesicles	Non-secretome
DAB2	770	Cytoplasmic vesicle	Vesicles	Non-secretome
DCHS2	3371	Vesicles	Vesicles	Non-secretome
DGKG	791	Membrane	Vesicles	Non-secretome
ECSCR	205	Cell membrane	Vesicles	Non-secretome
EMP3	163	Membrane	Vesicles	Non-secretome
EXOC3L1	746	Vesicles	Vesicles	Non-secretome
FBXW11	542	Cytoplasm	Vesicles	Non-secretome
GPRC5A	357	Cell membrane	Vesicles	Non-secretome
HCK	526	Cytoplasmic vesicle	Vesicles	Non-secretome
LAMP2	410	Cell membrane	Vesicles	Non-secretome
MGAT4C	478	Golgi apparatus	Vesicles	Non-secretome
PAG1	432	Cell membrane	Vesicles	Non-secretome
PCDHB16	776	Vesicles	Vesicles	Non-secretome
PCDHGA1	931	Vesicles	Vesicles	Non-secretome
PCDHGA2	932	Vesicles	Vesicles	Non-secretome
PCDHGA3	932	Vesicles	Vesicles	Non-secretome
PCDHGA4	962	Cell membrane	Vesicles	Non-secretome
PCDHGA5	931	Vesicles	Vesicles	Non-secretome
PCDHGA6	932	Vesicles	Vesicles	Non-secretome
PCDHGA7	932	Vesicles	Vesicles	Non-secretome
PCDHGA8	932	Vesicles	Vesicles	Non-secretome
PCDHGA9	932	Vesicles	Vesicles	Non-secretome
PCDHGB1	927	Vesicles	Vesicles	Non-secretome
PCDHGB4	923	Vesicles	Vesicles	Non-secretome
PCDHGB5	923	Vesicles	Vesicles	Non-secretome
PCDHGB6	930	Vesicles	Vesicles	Non-secretome
PCDHGB7	929	Vesicles	Vesicles	Non-secretome
PCDHGC4	938	Vesicles	Vesicles	Non-secretome
PCDHGC5	944	Vesicles	Vesicles	Non-secretome
PGLYRP4	373	Secreted	Vesicles	Secreted-other tissues
PRRG1	218	Vesicles	Vesicles	Non-secretome
RAB26	256	Cytoplasmic vesicle	Vesicles	Intracellular and membrane
RIMBP3	1639	Cytoplasm	Vesicles	Non-secretome
RIMBP3B	1639	Cytoplasm	Vesicles	Non-secretome
RIMBP3C	1639	Cytoplasm	Vesicles	Non-secretome
RNF149	400	Membrane	Vesicles	Non-secretome
SGK494	0	Vesicles	Vesicles	Non-secretome
SLC38A5	472	Cell membrane	Vesicles	Non-secretome
SPANXN4	99	Vesicles	Vesicles	Non-secretome
SPPL3	384	Endoplasmic reticulum	Vesicles	Non-secretome
SYT4	425	Cytoplasmic vesicle	Vesicles	Non-secretome
ULBP2	246	Vesicles	Vesicles	Secreted-other tissues
ZDHHC20	365	Golgi apparatus	Vesicles	Non-secretome
ZNF10	573	Vesicles	Vesicles	Non-secretome
ACKR4	350	Endosome	Vesicles	Non-secretome
DAP	102	Other	Vesicles	Non-secretome
DPYSL4	572	Cytoplasm	Vesicles	Non-secretome
PPP1R3D	299	Vesicles	Vesicles	Non-secretome
SLC25A25	469	Mitochondrion	Vesicles	Intracellular and membrane
SLC25A35	300	Mitochondrion	Vesicles	Non-secretome
C10orf67	551	Vesicles	Vesicles	Non-secretome
KLHL22	634	Cytoplasm	Vesicles	Non-secretome
ARC	396	Other	Vesicles	Non-secretome
SPTAN1	2472	Cytoplasm	Vesicles	Non-secretome
ZC4H2	224	Cytoplasm	Vesicles	Non-secretome
RPTOR	1335	Cytoplasm	Vesicles	Non-secretome
VPS36	386	Cytoplasm	Vesicles	Non-secretome
ARSD	593	Vesicles	Vesicles	Non-secretome
FIG4	907	Endosome	Vesicles	Non-secretome
IQSEC2	1488	Cytoplasm	Vesicles	Non-secretome
KRT222	295	Cytoplasm	Vesicles	Non-secretome
PLIN5	463	Lipid droplet	Vesicles	Non-secretome
CARD10	1032	Cytoplasm	Vesicles	Non-secretome
CTNS	367	Lysosome	Vesicles	Non-secretome
ARL14EP	260	Cytoplasm	Vesicles	Non-secretome
TRIM62	475	Cytoplasm	Vesicles	Non-secretome
CLTA	248	Cytoplasmic vesicle	Vesicles	Non-secretome
CLTC	1675	Cytoplasmic vesicle	Vesicles	Non-secretome
C9orf84	0	Vesicles	Vesicles	Non-secretome
ABHD5	349	Cytoplasm	Vesicles	Non-secretome
ACBD7	88	Other	Vesicles	Non-secretome
ACKR2	384	Endosome	Vesicles	Non-secretome
ARPC1B	372	Cytoplasm	Vesicles	Non-secretome
ATP6V1A	617	Cytoplasm	Vesicles	Non-secretome
C9orf72	481	Vesicles	Vesicles	Intracellular and membrane
CRYGA	174	Other	Vesicles	Non-secretome
CRYGB	175	Cytoplasm	Vesicles	Non-secretome
CRYGC	174	Cytoplasm	Vesicles	Non-secretome
CRYGD	174	Vesicles	Vesicles	Non-secretome
CSK	450	Cytoplasm	Vesicles	Non-secretome
CXorf38	319	Vesicles	Vesicles	Non-secretome
DCP1B	617	Cytoplasm	Vesicles	Non-secretome
DENND1A	1009	Cytoplasmic vesicle	Vesicles	Non-secretome
DENND3	1198	Cytoplasm	Vesicles	Non-secretome
DGAT2	388	Endoplasmic reticulum	Vesicles	Non-secretome
DRG2	364	Nucleus	Vesicles	Non-secretome
EIF2B3	452	Vesicles	Vesicles	Non-secretome
ELOVL3	270	Endoplasmic reticulum	Vesicles	Non-secretome
EPS15	896	Cytoplasm	Vesicles	Intracellular and membrane
EVL	416	Cytoplasm	Vesicles	Non-secretome
FMO4	558	Endoplasmic reticulum	Vesicles	Non-secretome
FRAT1	279	Cytoplasm	Vesicles	Non-secretome
GPBP1	473	Nucleus	Vesicles	Non-secretome
GRIPAP1	841	Endosome	Vesicles	Non-secretome
HMOX2	316	Endoplasmic reticulum	Vesicles	Non-secretome
HOOK2	719	Cytoplasm	Vesicles	Non-secretome
HSPA1B	641	Cytoplasm	Vesicles	Non-secretome
ICA1	483	Cytoplasm	Vesicles	Non-secretome
KIAA2026	2103	Vesicles	Vesicles	Non-secretome
MAP3K14	947	Cytoplasm	Vesicles	Non-secretome
MINDY4	757	Other	Vesicles	Non-secretome
MTOR	2549	Endoplasmic reticulum	Vesicles	Non-secretome
MVK	396	Cytoplasm	Vesicles	Non-secretome
PHKA1	1223	Cell membrane	Vesicles	Non-secretome
PPP6R2	966	Cytoplasm	Vesicles	Non-secretome
PREX1	1659	Cytoplasm	Vesicles	Non-secretome
RAB29	203	Cell membrane	Vesicles	Non-secretome
RABEP2	569	Cytoplasm	Vesicles	Non-secretome
RHOQ	205	Cytoplasm	Vesicles	Non-secretome
RUBCN	972	Endosome	Vesicles	Non-secretome
SEC31A	1220	Cytoplasm	Vesicles	Non-secretome
SHISA9	424	Cell projection	Vesicles	Non-secretome
SHISAL1	199	Membrane	Vesicles	Non-secretome
SLC12A6	1150	Membrane	Vesicles	Non-secretome
SLC7A14	771	Lysosome	Vesicles	Non-secretome
SNX14	946	Lysosome	Vesicles	Non-secretome
SNX5	404	Endosome	Vesicles	Non-secretome
SPATA21	469	Other	Vesicles	Non-secretome
SPG21	308	Cytoplasm	Vesicles	Non-secretome
SQLE	574	Endoplasmic reticulum	Vesicles	Non-secretome
SQSTM1	440	Cytoplasm	Vesicles	Non-secretome
TMIE	156	Membrane	Vesicles	Non-secretome
TMUB2	321	Membrane	Vesicles	Non-secretome
TPRG1L	272	Vesicles	Vesicles	Non-secretome
TRAPPC2L	140	Cytoplasm	Vesicles	Non-secretome
UGT3A1	523	Vesicles	Vesicles	Non-secretome
VPS29	182	Cytoplasm	Vesicles	Non-secretome
VSIG1	387	Membrane	Vesicles	Non-secretome
WDR54	334	Other	Vesicles	Non-secretome
ZDHHC24	284	Membrane	Vesicles	Non-secretome
ZFYVE16	1539	Vesicles	Vesicles	Non-secretome
ZFYVE9	1425	Vesicles	Vesicles	Non-secretome
ZNF302	478	Vesicles	Vesicles	Non-secretome
SLC18A2	514	Cytoplasmic vesicle	Vesicles	Non-secretome
KLHL12	568	Cytoplasmic vesicle	Vesicles	Non-secretome
RAB11A	216	Cell membrane	Vesicles	Non-secretome
RAB11B	218	Endosome	Vesicles	Non-secretome
RAB11FIP3	756	Endosome	Vesicles	Non-secretome
RAB11FIP5	653	Cytoplasm	Vesicles	Non-secretome
RAB15	212	Cell membrane	Vesicles	Non-secretome
SNX21	373	Cytoplasmic vesicle	Vesicles	Non-secretome
TMEM63A	807	Lysosome	Vesicles	Non-secretome
ZNF365	216	Vesicles	Vesicles	Non-secretome
GJA1	382	Cell membrane	Vesicles	Non-secretome
GJB3	270	Cell membrane	Vesicles	Non-secretome
JCAD	1359	Cell junction	Vesicles	Non-secretome
PCDHA11	949	Vesicles	Vesicles	Non-secretome
SLC16A10	515	Cell membrane	Vesicles	Non-secretome
SLC44A2	706	Membrane	Vesicles	Non-secretome
C19orf81	198	Vesicles	Vesicles	Non-secretome
NEGR1	354	Cell membrane	Vesicles	Non-secretome
44258	0	Vesicles	Vesicles	Non-secretome
AC091057.5	0	Vesicles	Vesicles	Non-secretome
ARHGAP11B	267	Nucleus	Vesicles	Non-secretome
C10orf76	0	Vesicles	Vesicles	Non-secretome
C7orf43	0	Vesicles	Vesicles	Non-secretome
DIRC2	0	Vesicles	Vesicles	Non-secretome
FAM198A	0	Vesicles	Vesicles	Non-secretome
GRASP	0	Vesicles	Vesicles	Non-secretome
LRMP	0	Vesicles	Vesicles	Non-secretome
PQLC2	0	Vesicles	Vesicles	Non-secretome
TMEM136	0	Vesicles	Vesicles	Non-secretome
WASHC2A	1341	Endosome	Vesicles	Non-secretome
AACS	672	Cytoplasm	Vesicles	Non-secretome
ABCA13	5058	Cytoplasmic vesicle	Vesicles	Non-secretome
ABCB9	766	Lysosome	Vesicles	Non-secretome
ABCG8	673	Cell membrane	Vesicles	Non-secretome
ABHD14A	271	Cytoplasm	Vesicles	Non-secretome
ABHD14A-ACY1	0	Cytoplasm	Vesicles	Non-secretome
ABHD17A	310	Cell membrane	Vesicles	Non-secretome
ABHD6	337	Endosome	Vesicles	Non-secretome
AC092718.3	0	Vesicles	Vesicles	Non-secretome
AC092718.8	0	Vesicles	Vesicles	Non-secretome
AC118553.2	0	Vesicles	Vesicles	Non-secretome
ACSBG1	724	Cytoplasm	Vesicles	Non-secretome
ACSM5	579	Mitochondrion	Vesicles	Non-secretome
ADCYAP1R1	468	Cell membrane	Vesicles	Non-secretome
ADGRE2	823	Vesicles	Vesicles	Non-secretome
ADHFE1	467	Mitochondrion	Vesicles	Non-secretome
ADRA2B	450	Cell membrane	Vesicles	Non-secretome
AGFG1	562	Nucleus	Vesicles	Non-secretome
AGMO	445	Endoplasmic reticulum	Vesicles	Non-secretome
AGTR1	359	Cell membrane	Vesicles	Non-secretome
AGTRAP	159	Endoplasmic reticulum	Vesicles	Non-secretome
AGXT	392	Mitochondrion	Vesicles	Non-secretome
AIFM2	373	Lipid droplet	Vesicles	Non-secretome
AKAP7	104	Nucleus	Vesicles	Non-secretome
AL162231.1	0	Vesicles	Vesicles	Non-secretome
AL592490.1	0	Vesicles	Vesicles	Non-secretome
AMBRA1	1298	Cytoplasmic vesicle	Vesicles	Non-secretome
AMHR2	573	Membrane	Vesicles	Non-secretome
ANKRD13B	626	Cell membrane	Vesicles	Non-secretome
ANKRD2	360	Cytoplasm	Vesicles	Non-secretome
ANKRD6	727	Cytoplasm	Vesicles	Non-secretome
AOAH	575	Secreted	Vesicles	Blood
AP1G1	822	Golgi apparatus	Vesicles	Non-secretome
AP1M2	423	Golgi apparatus	Vesicles	Non-secretome
AP1S3	154	Golgi apparatus	Vesicles	Non-secretome
AP2A1	977	Cell membrane	Vesicles	Non-secretome
AP2A2	939	Cell membrane	Vesicles	Non-secretome
AP2B1	937	Cell membrane	Vesicles	Non-secretome
AP3S1	193	Golgi apparatus	Vesicles	Non-secretome
AP3S2	193	Golgi apparatus	Vesicles	Non-secretome
AP4B1	739	Golgi apparatus	Vesicles	Non-secretome
AP4S1	144	Golgi apparatus	Vesicles	Non-secretome
APBA3	575	Cytoplasm	Vesicles	Non-secretome
APLP2	763	Cell membrane	Vesicles	Non-secretome
APOA4	396	Secreted	Vesicles	Blood
APOE	317	Secreted	Vesicles	Blood
APOL4	351	Vesicles	Vesicles	Blood
ARCN1	511	Cytoplasm	Vesicles	Non-secretome
ARHGAP1	439	Cytoplasm	Vesicles	Non-secretome
ARHGAP30	1101	Cytoplasmic vesicle	Vesicles	Non-secretome
ARHGEF25	580	Cytoplasm	Vesicles	Non-secretome
ARHGEF33	844	Other	Vesicles	Non-secretome
ARL4D	201	Nucleus	Vesicles	Non-secretome
ARSK	536	Secreted	Vesicles	Secreted-other tissues
ARV1	271	Endoplasmic reticulum	Vesicles	Non-secretome
ASAP3	903	Cytoplasm	Vesicles	Non-secretome
ASIP	132	Vesicles	Vesicles	Blood
ATG2A	1938	Other	Vesicles	Intracellular and membrane
ATG9A	839	Cytoplasmic vesicle	Vesicles	Non-secretome
ATP13A1	1204	Endoplasmic reticulum	Vesicles	Non-secretome
ATP6V0D2	350	Membrane	Vesicles	Non-secretome
ATP6V1B2	511	Membrane	Vesicles	Non-secretome
ATP8A1	1164	Cytoplasmic vesicle	Vesicles	Non-secretome
AZIN1	448	Nucleus	Vesicles	Non-secretome
AZU1	251	Vesicles	Vesicles	Blood
B3GALNT1	331	Golgi apparatus	Vesicles	Non-secretome
B3GAT1	334	Golgi apparatus	Vesicles	Brain
B3GNT2	397	Vesicles	Vesicles	Non-secretome
BAAT	418	Cytoplasm	Vesicles	Non-secretome
BAG5	447	Cytoplasm	Vesicles	Non-secretome
BAMBI	260	Membrane	Vesicles	Non-secretome
BCAS1	584	Cytoplasm	Vesicles	Non-secretome
BCL2L12	334	Vesicles	Vesicles	Non-secretome
BCL6B	479	Nucleus	Vesicles	Non-secretome
BICD1	975	Golgi apparatus	Vesicles	Non-secretome
BLOC1S4	217	Cytoplasm	Vesicles	Non-secretome
BLOC1S5	187	Other	Vesicles	Non-secretome
BORCS8	119	Lysosome	Vesicles	Non-secretome
BPIFB2	458	Secreted	Vesicles	Secreted-other tissues
BRAF	766	Nucleus	Vesicles	Non-secretome
BTBD3	522	Cytoplasm	Vesicles	Non-secretome
BTG2	158	Cytoplasm	Vesicles	Non-secretome
BZW1	419	Cytoplasm	Vesicles	Non-secretome
C11orf91	193	Vesicles	Vesicles	Non-secretome
C12orf29	325	Vesicles	Vesicles	Non-secretome
C12orf75	0	Vesicles	Vesicles	Non-secretome
C15orf38-AP3S2	0	Vesicles	Vesicles	Non-secretome
C18orf32	76	Vesicles	Vesicles	Non-secretome
C19orf84	186	Vesicles	Vesicles	Non-secretome
C1GALT1C1	318	Membrane	Vesicles	Non-secretome
C1orf53	145	Vesicles	Vesicles	Non-secretome
C1QTNF12	302	Secreted	Vesicles	Blood
C2CD4C	421	Cytoplasm	Vesicles	Non-secretome
C4orf47	309	Vesicles	Vesicles	Non-secretome
C7orf61	206	Vesicles	Vesicles	Non-secretome
CA10	328	Vesicles	Vesicles	Brain
CAAP1	361	Other	Vesicles	Non-secretome
CAB39L	337	Cytoplasm	Vesicles	Non-secretome
CACNA2D2	1150	Membrane	Vesicles	Non-secretome
CADPS	1353	Vesicles	Vesicles	Non-secretome
CALB1	261	Other	Vesicles	Non-secretome
CALM1	149	Cytoplasm	Vesicles	Non-secretome
CALN1	261	Golgi apparatus	Vesicles	Non-secretome
CAMLG	296	Vesicles	Vesicles	Non-secretome
CAPN9	690	Cytoplasm	Vesicles	Non-secretome
CARF	725	Nucleus	Vesicles	Non-secretome
CATSPERB	1116	Membrane	Vesicles	Non-secretome
CAV2	162	Nucleus	Vesicles	Non-secretome
CBS	551	Cytoplasm	Vesicles	Non-secretome
CBSL	551	Cytoplasm	Vesicles	Non-secretome
CCDC122	273	Other	Vesicles	Non-secretome
CCDC130	396	Vesicles	Vesicles	Non-secretome
CCDC169-SOHLH2	0	Nucleus	Vesicles	Non-secretome
CCDC190	302	Other	Vesicles	Non-secretome
CCDC65	484	Cytoplasm	Vesicles	Non-secretome
CCDC74A	378	Vesicles	Vesicles	Non-secretome
CCDC74B	380	Vesicles	Vesicles	Non-secretome
CCDC93	631	Endosome	Vesicles	Non-secretome
CCZ1	482	Lysosome	Vesicles	Non-secretome
CCZ1B	482	Lysosome	Vesicles	Non-secretome
CD63	238	Cell membrane	Vesicles	Intracellular and membrane
CDC25B	580	Cytoplasm	Vesicles	Non-secretome
CDH12	794	Cell membrane	Vesicles	Non-secretome
CEP295NL	621	Cell projection	Vesicles	Non-secretome
CERK	537	Cytoplasm	Vesicles	Non-secretome
CFAP58	872	Cell projection	Vesicles	Non-secretome
CFH	1231	Vesicles	Vesicles	Blood
CFHR1	330	Vesicles	Vesicles	Blood
CFP	469	Secreted	Vesicles	Blood
CHGA	457	Cytoplasmic vesicle	Vesicles	Intracellular and membrane
CHGB	677	Secreted	Vesicles	Intracellular and membrane
CHP1	195	Nucleus	Vesicles	Non-secretome
CHPT1	406	Golgi apparatus	Vesicles	Non-secretome
CITED4	184	Nucleus	Vesicles	Non-secretome
CKLF	152	Membrane	Vesicles	Blood
CLCN3	818	Cytoplasmic vesicle	Vesicles	Non-secretome
CLCN4	760	Endosome	Vesicles	Non-secretome
CLDN14	239	Cell junction	Vesicles	Non-secretome
CLDN7	211	Cell membrane	Vesicles	Non-secretome
CLINT1	625	Cytoplasm	Vesicles	Non-secretome
CLIP4	705	Cytoplasm	Vesicles	Non-secretome
CLNK	428	Cytoplasm	Vesicles	Non-secretome
CLTB	229	Cytoplasmic vesicle	Vesicles	Non-secretome
CLTCL1	1640	Vesicles	Vesicles	Non-secretome
CLUH	1309	Cytoplasm	Vesicles	Non-secretome
CMTM6	183	Cell membrane	Vesicles	Non-secretome
CNIH1	144	Endoplasmic reticulum	Vesicles	Non-secretome
CNNM2	875	Cell membrane	Vesicles	Non-secretome
CNST	725	Cell membrane	Vesicles	Non-secretome
COMMD7	200	Cytoplasmic vesicle	Vesicles	Non-secretome
COMT	271	Cytoplasm	Vesicles	Non-secretome
COPS2	443	Cytoplasm	Vesicles	Non-secretome
CPLX1	134	Cytoplasm	Vesicles	Non-secretome
CPLX2	134	Cytoplasm	Vesicles	Non-secretome
CRB1	1406	Membrane	Vesicles	Brain
CROT	612	Peroxisome	Vesicles	Non-secretome
CSMD1	3564	Membrane	Vesicles	Non-secretome
CSNK1G2	415	Cytoplasm	Vesicles	Non-secretome
CT55	264	Vesicles	Vesicles	Male reproductive system
CTDSPL	276	Nucleus	Vesicles	Non-secretome
CYB561A3	242	Endosome	Vesicles	Non-secretome
CYP27C1	542	Vesicles	Vesicles	Non-secretome
CYP4B1	511	Endoplasmic reticulum	Vesicles	Non-secretome
DAB1	588	Cytoplasm	Vesicles	Non-secretome
DACT3	629	Cytoplasm	Vesicles	Non-secretome
DCUN1D4	292	Nucleus	Vesicles	Non-secretome
DENND6A	608	Endosome	Vesicles	Non-secretome
DERL3	235	Endoplasmic reticulum	Vesicles	Non-secretome
DESI2	194	Cytoplasm	Vesicles	Non-secretome
DGKA	735	Cytoplasm	Vesicles	Non-secretome
DHRS13	377	Secreted	Vesicles	Secreted-unknown location
DHRS4L2	230	Peroxisome	Vesicles	Secreted-unknown location
DIO3	304	Cell membrane	Vesicles	Non-secretome
DKKL1	242	Secreted	Vesicles	Male reproductive system
DLG1	904	Membrane	Vesicles	Non-secretome
DMRTA1	504	Nucleus	Vesicles	Non-secretome
DNAJC13	2243	Vesicles	Vesicles	Non-secretome
DNAJC16	782	Membrane	Vesicles	Non-secretome
DNAJC22	341	Membrane	Vesicles	Non-secretome
DNASE1	282	Secreted	Vesicles	Secreted-other tissues
DOLPP1	238	Endoplasmic reticulum	Vesicles	Non-secretome
DPY19L1	675	Membrane	Vesicles	Non-secretome
DTD2	168	Cytoplasm	Vesicles	Non-secretome
DTX4	619	Cytoplasm	Vesicles	Non-secretome
DYRK4	520	Cytoplasm	Vesicles	Non-secretome
DZIP3	1208	Cytoplasm	Vesicles	Non-secretome
ECHDC1	307	Cytoplasm	Vesicles	Non-secretome
EEA1	1411	Cytoplasm	Vesicles	Non-secretome
EEF2KMT	330	Cytoplasm	Vesicles	Non-secretome
EIF4ENIF1	985	Cytoplasm	Vesicles	Non-secretome
EIF5A2	153	Cytoplasm	Vesicles	Non-secretome
EML2	649	Cytoplasm	Vesicles	Non-secretome
ENTPD4	616	Cytoplasmic vesicle	Vesicles	Non-secretome
EPHX4	362	Membrane	Vesicles	Non-secretome
EPN2	641	Cytoplasm	Vesicles	Non-secretome
EPN3	632	Cytoplasm	Vesicles	Non-secretome
EPS15L1	864	Cell membrane	Vesicles	Non-secretome
EPS8L3	593	Cytoplasm	Vesicles	Non-secretome
ERV3-1	604	Vesicles	Vesicles	Non-secretome
ESPN	854	Cytoplasm	Vesicles	Non-secretome
ESR1	595	Nucleus	Vesicles	Non-secretome
EVA1A	152	Endoplasmic reticulum	Vesicles	Non-secretome
EXOC2	924	Other	Vesicles	Non-secretome
EXOC3L2	409	Vesicles	Vesicles	Non-secretome
EXOC6	804	Cytoplasm	Vesicles	Non-secretome
FAM114A2	505	Other	Vesicles	Non-secretome
FAM220A	259	Nucleus	Vesicles	Non-secretome
FAM3B	235	Secreted	Vesicles	Blood
FAM43A	423	Other	Vesicles	Non-secretome
FAM72A	149	Cytoplasm	Vesicles	Non-secretome
FAM72B	149	Cytoplasm	Vesicles	Non-secretome
FAM72C	149	Cytoplasm	Vesicles	Non-secretome
FAM72D	149	Cytoplasm	Vesicles	Non-secretome
FAM86B1	296	Cytoplasm	Vesicles	Non-secretome
FAM86B2	330	Cytoplasm	Vesicles	Non-secretome
FAM98A	518	Other	Vesicles	Non-secretome
FANCD2OS	177	Other	Vesicles	Non-secretome
FCGR1B	280	Cell membrane	Vesicles	Intracellular and membrane
FERMT3	667	Cell projection	Vesicles	Non-secretome
FETUB	382	Secreted	Vesicles	Blood
FGD6	1430	Cytoplasm	Vesicles	Non-secretome
FGFRL1	504	Cell membrane	Vesicles	Non-secretome
FJX1	437	Secreted	Vesicles	Intracellular and membrane
FKBP1B	108	Cytoplasm	Vesicles	Non-secretome
FO393400.1	0	Vesicles	Vesicles	Non-secretome
FPGT	607	Cytoplasm	Vesicles	Non-secretome
FPGT-TNNI3K	0	Nucleus	Vesicles	Non-secretome
FTCDNL1	147	Vesicles	Vesicles	Secreted-other tissues
FUK	0	Vesicles	Vesicles	Non-secretome
FUT4	530	Golgi apparatus	Vesicles	Non-secretome
FYCO1	1478	Cytoplasmic vesicle	Vesicles	Non-secretome
FZD3	666	Membrane	Vesicles	Non-secretome
FZD7	574	Cell membrane	Vesicles	Non-secretome
GABARAP	117	Endoplasmic reticulum	Vesicles	Non-secretome
GABARAPL1	117	Cytoplasmic vesicle	Vesicles	Non-secretome
GALNT9	603	Vesicles	Vesicles	Non-secretome
GARNL3	1013	Cytoplasm	Vesicles	Non-secretome
GCM1	436	Nucleus	Vesicles	Non-secretome
GDE1	331	Cell membrane	Vesicles	Non-secretome
GFPT2	682	Cytoplasm	Vesicles	Non-secretome
GFRA2	464	Cell membrane	Vesicles	Intracellular and membrane
GGT2	569	Cell membrane	Vesicles	Non-secretome
GGT7	662	Membrane	Vesicles	Non-secretome
GIGYF1	1035	Cytoplasm	Vesicles	Non-secretome
GLTPD2	291	Cytoplasm	Vesicles	Secreted-unknown location
GNL1	607	Secreted	Vesicles	Non-secretome
GOLGA6A	693	Vesicles	Vesicles	Non-secretome
GOLGA6B	693	Vesicles	Vesicles	Non-secretome
GOLGA6C	693	Vesicles	Vesicles	Non-secretome
GOLGA6D	693	Vesicles	Vesicles	Non-secretome
GOLT1B	138	Golgi apparatus	Vesicles	Non-secretome
GPHA2	129	Secreted	Vesicles	Blood
GPR137C	429	Lysosome	Vesicles	Non-secretome
GPR17	367	Cell membrane	Vesicles	Non-secretome
GPR174	333	Cell membrane	Vesicles	Non-secretome
GPR180	440	Membrane	Vesicles	Non-secretome
GPR65	337	Cell membrane	Vesicles	Non-secretome
GPRC5B	403	Cell membrane	Vesicles	Non-secretome
GRB10	594	Cytoplasm	Vesicles	Non-secretome
GRK2	689	Cytoplasm	Vesicles	Non-secretome
GRM1	1194	Cell membrane	Vesicles	Non-secretome
