Gene names	RBC	Plasma	Matrisome 1	Matrisome 2	Matrisome 3	Plasma 1	Subcellular location [CC]
Rpl36a	NA	NA	NA	NA	NA	NA	Cytoplasm
Rpl37	NA	NA	NA	NA	NA	NA	Cytoplasm
Rpl37a	NA	NA	NA	NA	NA	NA	Cytoplasm
Rpl38	RBC	NA	NA	NA	NA	NA	Cytoplasm
Rpl39	NA	NA	NA	NA	NA	NA	Cytoplasm
Rpl4	RBC	NA	NA	NA	NA	NA	Cytoplasm
Rpl41	NA	NA	NA	NA	NA	NA	Cytoplasm
Rpl5	RBC	NA	NA	NA	NA	NA	Cytoplasm
Rpl6	NA	NA	NA	NA	NA	NA	Cytoplasm
Rpl7	RBC	NA	NA	NA	NA	NA	Cytoplasm
Rpl7a	RBC	NA	NA	NA	NA	NA	Cytoplasm
Rpl7l1	NA	NA	NA	NA	NA	NA	Cytoplasm
Rpl8	RBC	NA	NA	NA	NA	NA	Cytoplasm
Rpl9	RBC	NA	NA	NA	NA	NA	Cytoplasm
Nip7	NA	NA	NA	NA	NA	NA	Nucleus
Pfkfb1	NA	NA	NA	NA	NA	NA	NA
Pfkfb2	NA	NA	NA	NA	NA	NA	NA
Pfkfb4	NA	NA	NA	NA	NA	NA	NA
Pgd	RBC	NA	NA	NA	NA	NA	Cytoplasm
Pgls	RBC	NA	NA	NA	NA	NA	Cytoplasm
Pts	RBC	NA	NA	NA	NA	NA	NA
Nudt1	NA	NA	NA	NA	NA	NA	Cytoplasm
Cyp8b1	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
Dhcr7	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
Nt5c3b	NA	NA	NA	NA	NA	NA	Cytoplasm
Mepce	NA	NA	NA	NA	NA	NA	Nucleus
Pla2g6	NA	NA	NA	NA	NA	NA	Cytoplasm
Nudt18	NA	NA	NA	NA	NA	NA	NA
Adck1	NA	NA	NA	NA	NA	NA	Secreted
Abcb9	NA	NA	NA	NA	NA	NA	Lysosome membrane
Abca8a	NA	NA	NA	NA	NA	NA	Cell membrane
Abca8b	NA	NA	NA	NA	NA	NA	Cell membrane
Abi3	NA	NA	NA	NA	NA	NA	Cytoplasm
Abi1	NA	NA	NA	NA	NA	NA	Cytoplasm
Abi2	NA	NA	NA	NA	NA	NA	Cell projection
Aspm	NA	NA	NA	NA	NA	NA	Cytoplasm
Zfyve19	NA	NA	NA	NA	NA	NA	Cytoplasm
Aacs	NA	NA	NA	NA	NA	NA	Cytoplasm
Chrna1	NA	NA	NA	NA	NA	NA	Cell junction
Chrnb1	NA	NA	NA	NA	NA	NA	Cell junction
Chrnd	NA	NA	NA	NA	NA	NA	Cell junction
Chrne	NA	NA	NA	NA	NA	NA	Cell junction
Chrng	NA	NA	NA	NA	NA	NA	Cell junction
Ache	NA	NA	NA	NA	NA	NA	Cell junction
Acat2	RBC	NA	NA	NA	NA	NA	Cytoplasm
Acat1	RBC	NA	NA	NA	NA	NA	Mitochondrion
Acaca	NA	NA	NA	NA	NA	NA	Cytoplasm
Acacb	NA	NA	NA	NA	NA	NA	Mitochondrion
Acss1	NA	NA	NA	NA	NA	NA	Mitochondrion matrix
Acss2	NA	NA	NA	NA	NA	NA	Cytoplasm
Acot12	NA	NA	NA	NA	NA	NA	Cytoplasm
Slc33a1	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
B3gnt6	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
Asmt	NA	NA	NA	NA	NA	NA	NA
Ascl1	NA	NA	NA	NA	NA	NA	Nucleus
Ascl2	NA	NA	NA	NA	NA	NA	Nucleus
Ascl3	NA	NA	NA	NA	NA	NA	Nucleus
Asah1	NA	NA	NA	NA	NA	NA	Lysosome
Acp7	NA	NA	NA	NA	NA	NA	Secreted
Smpdl3a	NA	NA	NA	NA	NA	NA	Secreted
Smpdl3b	NA	NA	NA	NA	NA	NA	Secreted
Gadl1	NA	NA	NA	NA	NA	NA	NA
Fibp	RBC	NA	NA	NA	NA	NA	Nucleus
Anp32a	RBC	NA	NA	NA	NA	NA	Nucleus
Anp32b	NA	NA	NA	NA	NA	NA	Nucleus
Anp32e	NA	NA	NA	NA	NA	NA	Cytoplasm Nucleus
Chia	NA	NA	NA	NA	NA	NA	Secreted
Asic1	NA	NA	NA	NA	NA	NA	Cell membrane
Asic2	NA	NA	NA	NA	NA	NA	Cell membrane
Asic3	NA	NA	NA	NA	NA	NA	Cell membrane
Asic4	NA	NA	NA	NA	NA	NA	Membrane
Asic5	NA	NA	NA	NA	NA	NA	Cell membrane
Aco2	RBC	NA	NA	NA	NA	NA	Mitochondrion
Acrbp	NA	NA	NA	NA	NA	NA	Cytoplasmic vesicle
Kiaa1210	NA	NA	NA	NA	NA	NA	Cytoplasmic vesicle
Acrv1	NA	NA	NA	NA	NA	NA	NA
Afap1	NA	NA	NA	NA	NA	NA	Cytoplasm
Afap1l1	NA	NA	NA	NA	NA	NA	Cytoplasm
Afap1l2	NA	NA	NA	NA	NA	NA	Cytoplasm
Fam107a	NA	NA	NA	NA	NA	NA	Nucleus
Ablim1	NA	NA	NA	NA	NA	NA	Cytoplasm
Ablim2	NA	NA	NA	NA	NA	NA	Cytoplasm
Ablim3	NA	NA	NA	NA	NA	NA	Cytoplasm
Ipp	NA	NA	NA	NA	NA	NA	Cytoplasm
Abra	NA	NA	NA	NA	NA	NA	Cytoplasm
Setd3	NA	NA	NA	NA	NA	NA	Cytoplasm
Actl10	NA	NA	NA	NA	NA	NA	NA
Actl6a	NA	NA	NA	NA	NA	NA	Nucleus
Actl6b	NA	NA	NA	NA	NA	NA	Nucleus
Actl7a	NA	NA	NA	NA	NA	NA	Cytoplasm
Actl7b	NA	NA	NA	NA	NA	NA	Cytoplasm
Actl9	NA	NA	NA	NA	NA	NA	Cytoplasm
Actr10	NA	NA	NA	NA	NA	NA	Cytoplasm
Actr2	RBC	NA	NA	NA	NA	NA	Cytoplasm
Arpc1a	RBC	NA	NA	NA	NA	NA	Cytoplasm
Arpc2	RBC	NA	NA	NA	NA	NA	Cytoplasm
Arpc3	NA	NA	NA	NA	NA	NA	Cytoplasm
Arpc5	RBC	NA	NA	NA	NA	NA	Cytoplasm
Arpc5l	NA	NA	NA	NA	NA	NA	Cytoplasm
Actr3b	NA	NA	NA	NA	NA	NA	Cytoplasm
Actr5	NA	NA	NA	NA	NA	NA	Nucleus
Actr6	NA	NA	NA	NA	NA	NA	Cytoplasm
Actr8	NA	NA	NA	NA	NA	NA	Nucleus
Actrt1	NA	NA	NA	NA	NA	NA	Cytoplasm
Actrt2	NA	NA	NA	NA	NA	NA	Cytoplasm
Actrt3	NA	NA	NA	NA	NA	NA	Cytoplasm
Tnk2	NA	NA	NA	NA	NA	NA	Cell membrane
Sub1	NA	NA	NA	NA	NA	NA	Nucleus
Ambra1	NA	NA	NA	NA	NA	NA	Cytoplasmic vesicle
Trip4	NA	NA	NA	NA	NA	NA	Nucleus
Ascc1	NA	NA	NA	NA	NA	NA	Nucleus
Ascc2	NA	NA	NA	NA	NA	NA	Nucleus
Ascc3	NA	NA	NA	NA	NA	NA	Nucleus
Atf7ip	NA	NA	NA	NA	NA	NA	Nucleus
Atf7ip2	NA	NA	NA	NA	NA	NA	Nucleus
Ahsa1	RBC	NA	NA	NA	NA	NA	Cytoplasm
Ahsa2	NA	NA	NA	NA	NA	NA	NA
Hrk	NA	NA	NA	NA	NA	NA	Membrane
Abt1	NA	NA	NA	NA	NA	NA	Nucleus
Abr	NA	NA	NA	NA	NA	NA	Cell projection
Rps19bp1	NA	NA	NA	NA	NA	NA	Nucleus
Acvr1	NA	NA	NA	NA	NA	NA	Membrane
Acvr1b	NA	NA	NA	NA	NA	NA	Cell membrane
Acvr1c	NA	NA	NA	NA	NA	NA	Membrane
Acvr2a	NA	NA	NA	NA	NA	NA	Membrane
Acvr2b	NA	NA	NA	NA	NA	NA	Cell membrane
Adnp	NA	NA	NA	NA	NA	NA	Nucleus
Adnp2	NA	NA	NA	NA	NA	NA	Nucleus
Arc	NA	NA	NA	NA	NA	NA	Extracellular vesicle membrane
Ndufab1	NA	NA	NA	NA	NA	NA	Mitochondrion
Fads1	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
Fads2	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
Acad10	NA	NA	NA	NA	NA	NA	NA
Acad11	NA	NA	NA	NA	NA	NA	Peroxisome
Scd1	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
Scd3	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
Acss3	NA	NA	NA	NA	NA	NA	Mitochondrion matrix
Awat1	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
Awat2	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
Lpgat1	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
Acbd5	NA	NA	NA	NA	NA	NA	Peroxisome membrane
Acbd6	RBC	NA	NA	NA	NA	NA	Cytoplasm
Acbd7	NA	NA	NA	NA	NA	NA	NA
Dbi	RBC	NA	NA	NA	NA	NA	Endoplasmic reticulum
Acnat1	NA	NA	NA	NA	NA	NA	Peroxisome
Acnat2	NA	NA	NA	NA	NA	NA	Peroxisome
Fitm2	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
Acoxl	NA	NA	NA	NA	NA	NA	NA
Acsm1	NA	NA	NA	NA	NA	NA	Mitochondrion matrix
Acsm2	NA	NA	NA	NA	NA	NA	Mitochondrion
Acsm3	NA	NA	NA	NA	NA	NA	Mitochondrion
Acsm4	NA	NA	NA	NA	NA	NA	Mitochondrion
Acsm5	NA	NA	NA	NA	NA	NA	Mitochondrion matrix
Acot1	NA	NA	NA	NA	NA	NA	Cytoplasm
Acot10	NA	NA	NA	NA	NA	NA	Mitochondrion
Acot11	RBC	NA	NA	NA	NA	NA	Mitochondrion matrix
Acot13	NA	NA	NA	NA	NA	NA	Cytoplasm
Acot2	NA	NA	NA	NA	NA	NA	Mitochondrion matrix
Acot3	NA	NA	NA	NA	NA	NA	Peroxisome
Acot5	NA	NA	NA	NA	NA	NA	Peroxisome
Acot6	NA	NA	NA	NA	NA	NA	Peroxisome
Acot8	NA	NA	NA	NA	NA	NA	Peroxisome matrix
Acot9	NA	NA	NA	NA	NA	NA	Mitochondrion
Them4	NA	NA	NA	NA	NA	NA	Cell membrane
Them5	NA	NA	NA	NA	NA	NA	Mitochondrion matrix
Agk	NA	NA	NA	NA	NA	NA	Mitochondrion inner membrane
Aoah	NA	NA	NA	NA	NA	NA	Secreted
Acyp1	RBC	NA	NA	NA	NA	NA	NA
Acyp2	RBC	NA	NA	NA	NA	NA	NA
Lypla1	NA	NA	NA	NA	NA	NA	Cytoplasm
Lypla2	NA	NA	NA	NA	NA	NA	Cytoplasm
Fahd1	RBC	NA	NA	NA	NA	NA	Mitochondrion
Crk	NA	NA	NA	NA	NA	NA	Cytoplasm
Necap1	NA	NA	NA	NA	NA	NA	Cytoplasmic vesicle
Necap2	RBC	NA	NA	NA	NA	NA	Cytoplasmic vesicle
Mutyh	NA	NA	NA	NA	NA	NA	Nucleus
Antkmt	NA	NA	NA	NA	NA	NA	Mitochondrion membrane
Aprt	RBC	NA	NA	NA	NA	NA	Cytoplasm
Apc	NA	NA	NA	NA	NA	NA	Cell junction
Apc2	NA	NA	NA	NA	NA	NA	Cytoplasm
Slc35b2	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
Slc35b3	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
Ada	NA	NA	NA	NA	NA	NA	Cell membrane
Adad1	NA	NA	NA	NA	NA	NA	Nucleus
Adad2	NA	NA	NA	NA	NA	NA	NA
Adal	NA	NA	NA	NA	NA	NA	NA
Adk	RBC	NA	NA	NA	NA	NA	Nucleus
Adora1	NA	NA	NA	NA	NA	NA	Cell membrane
Adora2a	NA	NA	NA	NA	NA	NA	Cell membrane
Adora2b	NA	NA	NA	NA	NA	NA	Cell membrane
Adora3	NA	NA	NA	NA	NA	NA	Cell membrane
Ahcy	RBC	NA	NA	NA	NA	NA	Cytoplasm Melanosome
Adcy1	NA	NA	NA	NA	NA	NA	Membrane
Adcy10	NA	NA	NA	NA	NA	NA	Cell membrane
Adcy2	NA	NA	NA	NA	NA	NA	Membrane
Adcy3	NA	NA	NA	NA	NA	NA	Cell membrane
Adcy4	NA	NA	NA	NA	NA	NA	Cell membrane
Adcy5	NA	NA	NA	NA	NA	NA	Cell membrane
Adcy6	NA	NA	NA	NA	NA	NA	Cell membrane
Adcy7	NA	NA	NA	NA	NA	NA	Membrane
Adcy8	NA	NA	NA	NA	NA	NA	Cell membrane
Adcy9	NA	NA	NA	NA	NA	NA	Cell membrane
Ak2	RBC	NA	NA	NA	NA	NA	Mitochondrion intermembrane space
Ak4	NA	NA	NA	NA	NA	NA	Mitochondrion matrix
Ak7	NA	NA	NA	NA	NA	NA	Cytoplasm
Ak8	NA	NA	NA	NA	NA	NA	Cytoplasm
Ak1	RBC	NA	NA	NA	NA	NA	Cytoplasm
Ak5	NA	NA	NA	NA	NA	NA	Cytoplasm
Ak6	NA	NA	NA	NA	NA	NA	Nucleus
Adsl	RBC	NA	NA	NA	NA	NA	NA
Adss1	NA	NA	NA	NA	NA	NA	Cytoplasm Membrane
Adss2	RBC	NA	NA	NA	NA	NA	Cytoplasm
Cap1	RBC	NA	NA	NA	NA	NA	Cell membrane
Cap2	NA	NA	NA	NA	NA	NA	Cell membrane
Mocs3	NA	NA	NA	NA	NA	NA	Cytoplasm
Ajap1	NA	NA	NA	NA	NA	NA	Basolateral cell membrane
Adgra1	NA	NA	NA	NA	NA	NA	Membrane
Adgra2	NA	NA	NA	NA	NA	NA	Cell membrane
Adgra3	NA	NA	NA	NA	NA	NA	Membrane
Adgrb1	NA	NA	NA	NA	NA	NA	Cell membrane
Adgrb2	NA	NA	NA	NA	NA	NA	Cell membrane
Adgrb3	NA	NA	NA	NA	NA	NA	Cell membrane
Adgre1	NA	NA	NA	NA	NA	NA	Cell membrane
Adgre4	NA	NA	NA	NA	NA	NA	Cell membrane
Adgrf4	NA	NA	NA	NA	NA	NA	Membrane
Adgrg3	NA	NA	NA	NA	NA	NA	Membrane
Adgrl1	NA	NA	NA	NA	NA	NA	Cell membrane
Adgrl2	NA	NA	NA	NA	NA	NA	Membrane
Adgrl3	NA	NA	NA	NA	NA	NA	Cell membrane
Adgrl4	NA	NA	NA	NA	NA	NA	Cell membrane
Adgrd1	NA	NA	NA	NA	NA	NA	Cell membrane
Adgrf1	NA	NA	NA	NA	NA	NA	Cell membrane
Adgrf2	NA	NA	NA	NA	NA	NA	Membrane
ADGRF3	NA	NA	NA	NA	NA	NA	Membrane
Adgrg1	NA	NA	NA	NA	NA	NA	Cell membrane
Adgrg2	NA	NA	NA	NA	NA	NA	Apical cell membrane
Adgrg4	NA	NA	NA	NA	NA	NA	Membrane
Adgrg5	NA	NA	NA	NA	NA	NA	Cell membrane
Adgrg6	NA	NA	NA	NA	NA	NA	Cell membrane
Adgrg7	NA	NA	NA	NA	NA	NA	Membrane
Apmap	NA	NA	NA	NA	NA	NA	Membrane
Arxes1	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
Arxes2	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
Adig	NA	NA	NA	NA	NA	NA	Membrane
C1qtnf12	NA	NA	NA	NA	NA	NA	Secreted
Adipor1	NA	NA	NA	NA	NA	NA	Cell membrane
Adipor2	NA	NA	NA	NA	NA	NA	Cell membrane
Slc25a4	RBC	NA	NA	NA	NA	NA	Mitochondrion inner membrane
Slc25a5	RBC	NA	NA	NA	NA	NA	Mitochondrion inner membrane
Slc25a31	NA	NA	NA	NA	NA	NA	Mitochondrion inner membrane
Adpgk	RBC	NA	NA	NA	NA	NA	Secreted
Adprs	RBC	NA	NA	NA	NA	NA	Nucleus
Macrod1	NA	NA	NA	NA	NA	NA	Nucleus
Macrod2	NA	NA	NA	NA	NA	NA	Nucleus
Oard1	NA	NA	NA	NA	NA	NA	Nucleus
Nudt9	NA	NA	NA	NA	NA	NA	Mitochondrion
Cd38	NA	NA	NA	NA	NA	NA	Membrane
Bst1	NA	NA	NA	NA	NA	NA	Cell membrane
Arf1	NA	NA	NA	NA	NA	NA	Golgi apparatus Cytoplasm
Arf2	NA	NA	NA	NA	NA	NA	Golgi apparatus
Arf3	RBC	NA	NA	NA	NA	NA	Golgi apparatus
Arf4	NA	NA	NA	NA	NA	NA	Golgi apparatus Membrane
Arf5	RBC	NA	NA	NA	NA	NA	Golgi apparatus Cytoplasm
Arf6	RBC	NA	NA	NA	NA	NA	Cytoplasm
Arfgap1	NA	NA	NA	NA	NA	NA	Cytoplasm
Arfgap2	NA	NA	NA	NA	NA	NA	Cytoplasm
Arfgap3	NA	NA	NA	NA	NA	NA	Cytoplasm
Gga1	NA	NA	NA	NA	NA	NA	Golgi apparatus
Gga2	NA	NA	NA	NA	NA	NA	Golgi apparatus
Gga3	NA	NA	NA	NA	NA	NA	Golgi apparatus
Arl1	RBC	NA	NA	NA	NA	NA	Golgi apparatus membrane
Arl10	NA	NA	NA	NA	NA	NA	NA
Arl11	NA	NA	NA	NA	NA	NA	NA
Arl13a	NA	NA	NA	NA	NA	NA	NA
Arl13b	NA	NA	NA	NA	NA	NA	Cell projection
Arl14	NA	NA	NA	NA	NA	NA	Cytoplasmic vesicle Note=Colocalizes with MHC II-containing cytoplasmic vesicles
Arl15	NA	NA	NA	NA	NA	NA	NA
Arl2	NA	NA	NA	NA	NA	NA	Mitochondrion intermembrane space Cytoplasm
Arl2bp	NA	NA	NA	NA	NA	NA	Cytoplasm
Arl3	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
Arl4a	NA	NA	NA	NA	NA	NA	Cell membrane
Arl4c	NA	NA	NA	NA	NA	NA	Cell projection
Arl4d	NA	NA	NA	NA	NA	NA	Nucleus
Arl5a	NA	NA	NA	NA	NA	NA	NA
Arl5b	NA	NA	NA	NA	NA	NA	NA
Arl5c	NA	NA	NA	NA	NA	NA	NA
Arl6	NA	NA	NA	NA	NA	NA	Cell projection
Arl6ip1	NA	NA	NA	NA	NA	NA	Endomembrane system
Arl6ip4	NA	NA	NA	NA	NA	NA	Nucleus
Arl6ip6	NA	NA	NA	NA	NA	NA	Nucleus inner membrane
Arl8a	RBC	NA	NA	NA	NA	NA	Late endosome membrane
Arl8b	RBC	NA	NA	NA	NA	NA	Late endosome membrane
Arfrp1	NA	NA	NA	NA	NA	NA	Golgi apparatus
Nudt5	RBC	NA	NA	NA	NA	NA	Nucleus
Acd	NA	NA	NA	NA	NA	NA	Nucleus
Mc2r	NA	NA	NA	NA	NA	NA	Cell membrane
Fdx1	NA	NA	NA	NA	NA	NA	Mitochondrion matrix
Enho	NA	NA	NA	NA	NA	NA	Secreted
Scin	NA	NA	NA	NA	NA	NA	Cytoplasm
Ager	NA	NA	NA	NA	NA	NA	Membrane
Avil	NA	NA	NA	NA	NA	NA	Cytoplasm
Aff1	NA	NA	NA	NA	NA	NA	Nucleus
Aff2	NA	NA	NA	NA	NA	NA	Nucleus speckle
Aff3	NA	NA	NA	NA	NA	NA	Nucleus
Aff4	NA	NA	NA	NA	NA	NA	Nucleus
Afdn	NA	NA	NA	NA	NA	NA	Cell junction
Ssx2ip	NA	NA	NA	NA	NA	NA	Cell junction
Afg1l	NA	NA	NA	NA	NA	NA	Mitochondrion membrane
Akr7a2	RBC	NA	NA	NA	NA	NA	Golgi apparatus
Aftph	NA	NA	NA	NA	NA	NA	Cytoplasm
Agmat	NA	NA	NA	NA	NA	NA	Mitochondrion
Agrp	NA	NA	NA	NA	NA	NA	Secreted
Asip	NA	NA	NA	NA	NA	NA	Secreted
Aip	NA	NA	NA	NA	NA	NA	Cytoplasm
Akap1	NA	NA	NA	NA	NA	NA	Mitochondrion outer membrane
Akap10	NA	NA	NA	NA	NA	NA	Mitochondrion
Akap12	NA	NA	NA	NA	NA	NA	Cytoplasm
Akap13	NA	NA	NA	NA	NA	NA	Cytoplasm
Akap17b	NA	NA	NA	NA	NA	NA	Nucleus speckle
Akap2	NA	NA	NA	NA	NA	NA	NA
Akap3	NA	NA	NA	NA	NA	NA	Cytoplasmic vesicle
Akap4	NA	NA	NA	NA	NA	NA	Cell projection
Akap5	RBC	NA	NA	NA	NA	NA	Postsynaptic recycling endosome membrane
Akap7	NA	NA	NA	NA	NA	NA	Lateral cell membrane
Akap7	NA	NA	NA	NA	NA	NA	Nucleus
Akap8	NA	NA	NA	NA	NA	NA	Nucleus matrix
Akap8l	NA	NA	NA	NA	NA	NA	Nucleus
Akap9	NA	NA	NA	NA	NA	NA	Golgi apparatus
Akain1	NA	NA	NA	NA	NA	NA	NA
Sphkap	NA	NA	NA	NA	NA	NA	Cytoplasm
Akip1	NA	NA	NA	NA	NA	NA	Nucleus
Akirin1	NA	NA	NA	NA	NA	NA	Nucleus
Akirin2	NA	NA	NA	NA	NA	NA	Nucleus
Aktip	NA	NA	NA	NA	NA	NA	Cytoplasm
Aaas	NA	NA	NA	NA	NA	NA	Nucleus
Gpt	NA	NA	NA	NA	NA	NA	Cytoplasm
Gpt2	NA	NA	NA	NA	NA	NA	NA
Aard	NA	NA	NA	NA	NA	NA	NA
Agxt2	NA	NA	NA	NA	NA	NA	Mitochondrion
Aars1	RBC	NA	NA	NA	NA	NA	Cytoplasm
Aars2	NA	NA	NA	NA	NA	NA	Mitochondrion
Aarsd1	NA	NA	NA	NA	NA	NA	Cytoplasm
Adh1	NA	NA	NA	NA	NA	NA	Cytoplasm
Adh5	RBC	NA	NA	NA	NA	NA	Cytoplasm
Aldh1a3	NA	NA	NA	NA	NA	NA	Cytoplasm
Aldh16a1	RBC	NA	NA	NA	NA	NA	NA
Aldh3a2	NA	NA	NA	NA	NA	NA	Membrane
Aldh3b1	NA	NA	NA	NA	NA	NA	Cell membrane
Aldh3b2	NA	NA	NA	NA	NA	NA	Lipid droplet
Aldh3b3	NA	NA	NA	NA	NA	NA	Cell membrane
Aldh1b1	NA	NA	NA	NA	NA	NA	Mitochondrion matrix
Aldh1a7	RBC	NA	NA	NA	NA	NA	Cytoplasm
Aldh3a1	NA	NA	NA	NA	NA	NA	Cytoplasm
Aldh2	RBC	NA	NA	NA	NA	NA	Mitochondrion matrix
Aox1	NA	NA	NA	NA	NA	NA	Cytoplasm
Aox2	NA	NA	NA	NA	NA	NA	Cytoplasm
Aox3	NA	NA	NA	NA	NA	NA	Cytoplasm
Aox4	NA	NA	NA	NA	NA	NA	Cytoplasm
Akr1a1	RBC	NA	NA	NA	NA	NA	Cytoplasm
Akr1b1	RBC	NA	NA	NA	NA	NA	Cytoplasm
Akr1b7	NA	NA	NA	NA	NA	NA	Cytoplasm
Akr1c13	RBC	NA	NA	NA	NA	NA	NA
Akr1c18	RBC	NA	NA	NA	NA	NA	Cytoplasm
Akr1c21	NA	NA	NA	NA	NA	NA	Cytoplasm
Akr1d1	NA	NA	NA	NA	NA	NA	Cytoplasm
Akr1b8	NA	NA	NA	NA	NA	NA	Cytoplasm
Alkal1	NA	NA	NA	NA	NA	NA	Secreted
Alkal2	NA	NA	NA	NA	NA	NA	Secreted
Alk	NA	NA	NA	NA	NA	NA	Cell membrane
Acer1	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
Acer2	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
Acer3	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
Alpg	NA	NA	NA	NA	NA	NA	Cell membrane
Alpl	NA	NA	NA	NA	NA	NA	Cell membrane
Alkbh8	NA	NA	NA	NA	NA	NA	Cytoplasm
Agps	NA	NA	NA	NA	NA	NA	Peroxisome membrane
Agmo	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
Pdss1	NA	NA	NA	NA	NA	NA	Mitochondrion
Pdss2	NA	NA	NA	NA	NA	NA	Mitochondrion
Milr1	NA	NA	NA	NA	NA	NA	Cell membrane
Aif1	NA	NA	NA	NA	NA	NA	Cytoplasm
Aif1l	NA	NA	NA	NA	NA	NA	Cytoplasm
Atraid	NA	NA	NA	NA	NA	NA	Nucleus envelope
Retsat	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
Adh4	NA	NA	NA	NA	NA	NA	Cytoplasm
Adh7	NA	NA	NA	NA	NA	NA	Cytoplasm
Aagab	NA	NA	NA	NA	NA	NA	Cytoplasm
Mettl11b	NA	NA	NA	NA	NA	NA	Nucleus
Fut10	NA	NA	NA	NA	NA	NA	Golgi apparatus
Fut11	NA	NA	NA	NA	NA	NA	Golgi apparatus
Fut4	NA	NA	NA	NA	NA	NA	Golgi apparatus
Fut7	NA	NA	NA	NA	NA	NA	Golgi apparatus
Fut8	NA	NA	NA	NA	NA	NA	Golgi apparatus
Abhd17a	NA	NA	NA	NA	NA	NA	Cell membrane
Abhd17b	NA	NA	NA	NA	NA	NA	Cell membrane
Abhd17c	NA	NA	NA	NA	NA	NA	Recycling endosome membrane
Alg9	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
Alg2	NA	NA	NA	NA	NA	NA	Membrane
A3galt2	NA	NA	NA	NA	NA	NA	Golgi apparatus
Mgat1	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
Mgat4a	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
Mgat4b	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
Mgat4c	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
Mgat4d	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
Mgat4e	NA	NA	NA	NA	NA	NA	NA
A4gnt	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
Mgat2	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
Mgat5	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
Mgat5b	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
Adra1a	NA	NA	NA	NA	NA	NA	Nucleus membrane
Orm3	NA	NA	NA	NA	NA	NA	Secreted
Adra1b	NA	NA	NA	NA	NA	NA	Nucleus membrane
A1bg	NA	NA	NA	NA	NA	NA	Secreted
Adra1d	NA	NA	NA	NA	NA	NA	Cell membrane
Snta1	NA	NA	NA	NA	NA	NA	Cell membrane
St8sia2	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
St8sia5	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
St8sia6	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
Adra2a	NA	NA	NA	NA	NA	NA	Cell membrane
Adra2b	NA	NA	NA	NA	NA	NA	Cell membrane
Adra2c	NA	NA	NA	NA	NA	NA	Cell membrane
Lrpap1	NA	NA	NA	NA	NA	NA	Rough endoplasmic reticulum lumen
Actn1	RBC	NA	NA	NA	NA	NA	Cytoplasm
Actn2	RBC	NA	NA	NA	NA	NA	Cytoplasm
Actn3	NA	NA	NA	NA	NA	NA	NA
Add1	RBC	NA	NA	NA	NA	NA	Cytoplasm
Aldh7a1	RBC	NA	NA	NA	NA	NA	Cytoplasm
Aass	NA	NA	NA	NA	NA	NA	Mitochondrion
Ctnnal1	NA	NA	NA	NA	NA	NA	Cytoplasm
Actr1a	RBC	NA	NA	NA	NA	NA	Cytoplasm
Cryaa	NA	NA	NA	NA	NA	NA	Cytoplasm
Defa1	NA	NA	NA	NA	NA	NA	Secreted
Defa10	NA	NA	NA	NA	NA	NA	Secreted
Defa11	NA	NA	NA	NA	NA	NA	Secreted
Defa13	NA	NA	NA	NA	NA	NA	Secreted
Defa14	NA	NA	NA	NA	NA	NA	Secreted
Defa15	NA	NA	NA	NA	NA	NA	Secreted
Defa16	NA	NA	NA	NA	NA	NA	Secreted
