Gene_Symbol	Protein_length	Division	Category	Secretome
Cpn1	457	Secreted	Secreted	Non-secretome
Acyp2	106	Nucleoplasm	Nucleoplasm	Non-secretome
Vdr	422	Nucleus	Nucleus	Non-secretome
Bid	195	Cytosol	Cytoplasm	Non-secretome
Lingo2	606	Unknown	Membrane	Non-secretome
Galnt7	657	Golgi	Golgi apparatus membrane	Non-secretome
Hsd17b11	298	ER	Endoplasmic reticulum	Non-secretome
Tinf2	341	Nucleus	Nucleus	Non-secretome
Cfap157	523	Cytosol	Cytoplasm	Non-secretome
Rasal1	799	Plasma membrane	Plasma membrane	Non-secretome
Ttc28	2450	Cytosol	Cytoplasm	Non-secretome
Btnl1	509	Unknown	Membrane	Non-secretome
Rbfox3	374	Other	Nucleus Cytoplasm	Non-secretome
Vip	170	Secreted	Secreted	Non-secretome
Tmem130	419	Golgi	Golgi apparatus membrane	Non-secretome
Ttll13	804	Unknown	Unknown	Non-secretome
Usp2	613	Cytosol	Cytoplasm	Non-secretome
Tacr2	384	Plasma membrane	Cell membrane	Non-secretome
Pclo	5068	Plasma membrane	Cell junction	Non-secretome
Spire2	718	Cytosol	Cytoplasm	Non-secretome
Gm527	310	Unknown	Unknown	Non-secretome
Grap2	322	Nucleus	Nucleus	Non-secretome
FAM120A	1112	Unknown	Cytoplasm	Non-secretome
Mycn	462	Nucleus	Nucleus	Non-secretome
Arhgef4	484	Cytosol	Cytoplasm	Non-secretome
Pawr	333	Cytosol	Cytoplasm	Non-secretome
Ccbe1	408	Secreted	Secreted	Non-secretome
Acvr2a	513	Unknown	Membrane	Non-secretome
Rps27	84	Cytosol	Cytoplasm	Non-secretome
Ooep	164	Cytosol	Cytoplasm	Non-secretome
Pth1r	591	Plasma membrane	Cell membrane	Non-secretome
Il11	199	Secreted	Secreted	Non-secretome
Chtf8	121	Nucleus	Nucleus	Non-secretome
Cnpy4	245	Secreted	Secreted	Non-secretome
Stk36	1316	Cytosol	Cytoplasm	Non-secretome
Mix23	144	Mitochondria	Mitochondria	Non-secretome
Surf2	257	Nucleoli	Nucleoli	Non-secretome
Slc25a31	320	Other	Mitochondrion inner membrane	Non-secretome
Ttc9b	239	Nucleoplasm	Nucleoplasm	Non-secretome
Lrp5	1614	Unknown	Membrane	Non-secretome
Srsf2	221	Nucleus	Nucleus	Non-secretome
Arhgap33	1305	Plasma membrane	Cell membrane	Non-secretome
Dnal4	105	Cytosol	Cytoplasm	Non-secretome
Hilpda	64	Unknown	Lipid droplet	Non-secretome
Lcp2	533	Cytosol	Cytoplasm	Non-secretome
Alcam	583	Plasma membrane	Cell membrane	Non-secretome
Lnx1	728	Cytosol	Cytoplasm	Non-secretome
Cep295	2412	Cytosol	Cytoplasm	Non-secretome
Gucy2c	1072	Plasma membrane	Cell membrane	Non-secretome
Lyrm9	78	Unknown	Unknown	Non-secretome
Olfr470	314	Plasma membrane	Cell membrane	Non-secretome
Ubash3b	638	Cytosol	Cytoplasm	Non-secretome
Cd1d1	336	Plasma membrane	Cell membrane	Non-secretome
Prrt4	902	Unknown	Membrane	Non-secretome
Gal	124	Secreted	Secreted	Non-secretome
Pacrgl	248	Nucleoplasm	Nucleoplasm	Non-secretome
Klrg2	387	Unknown	Membrane	Non-secretome
Hebp2	205	Cytosol	Cytoplasm	Non-secretome
Ier3	153	Unknown	Membrane	Non-secretome
Adh5	374	Cytosol	Cytoplasm	Non-secretome
Antkmt	229	Other	Mitochondrion membrane	Non-secretome
Tgfbr3	850	Plasma membrane	Cell membrane	Non-secretome
Vsx1	363	Nucleus	Nucleus	Non-secretome
Tmem231	315	Unknown	Cell projection	Non-secretome
Lamp3	411	Lysosome	Lysosome membrane	Non-secretome
Rin3	980	Cytosol	Cytoplasm	Non-secretome
Tnni1	187	Nucleoplasm	Nucleoplasm	Non-secretome
Cnp	420	Unknown	Membrane	Non-secretome
Chst10	356	Golgi	Golgi apparatus membrane	Non-secretome
Krba1	1043	Nucleoplasm	Nucleoplasm	Non-secretome
Ccnk	554	Nucleus	Nucleus	Non-secretome
Txnl4b	149	Nucleus	Nucleus	Non-secretome
Bccip	316	Nucleus	Nucleus	Non-secretome
Gtf2h3	309	Nucleus	Nucleus	Non-secretome
Ube4a	1028	Cytosol	Cytoplasm	Non-secretome
Jaml	379	Plasma membrane	Cell membrane	Non-secretome
Dctn2	402	Cytosol	Cytoplasm	Non-secretome
Id1	168	Cytosol	Cytoplasm	Non-secretome
Bdh1	343	Other	Mitochondrion inner membrane	Non-secretome
Htr3b	437	Plasma membrane	Cell membrane	Non-secretome
Mfsd3	412	Unknown	Membrane	Non-secretome
Stat4	749	Other	Cytoplasm Nucleus	Non-secretome
Acrbp	540	Cytosol	Cytoplasmic vesicle	Non-secretome
Brms1l	323	Nucleus	Nucleus	Non-secretome
Glipr2	154	Golgi	Golgi apparatus membrane	Non-secretome
Lgals3	264	Cytosol	Cytoplasm	Non-secretome
Ptgr1	329	Cytosol	Cytoplasm	Non-secretome
Il3ra	396	Plasma membrane	Cell membrane	Non-secretome
Slc35e1	409	Unknown	Membrane	Non-secretome
Gnaz	355	Unknown	Membrane	Non-secretome
C2cd3	2323	Cytosol	Cytoplasm	Non-secretome
Mmab	237	Other	Mitochondrion	Non-secretome
Fam216b	138	Unknown	Unknown	Non-secretome
Alms1	3251	Cytosol	Cytoplasm	Non-secretome
Fgf20	211	Secreted	Secreted	Non-secretome
Epn2	595	Cytosol	Cytoplasm	Non-secretome
Nmu	174	Secreted	Secreted	Non-secretome
Tdrd5	1040	Cytosol	Cytoplasm	Non-secretome
Sp4	782	Nucleus	Nucleus	Non-secretome
Mri1	369	Cytosol	Cytoplasm	Non-secretome
Arhgap31	1425	Unknown	Cell projection	Non-secretome
Nbn	751	Nucleus	Nucleus	Non-secretome
Mid1	680	Cytosol	Cytoplasm	Non-secretome
Snx17	470	Cytosol	Cytoplasm	Non-secretome
Cluh	1315	Cytosol	Cytoplasm	Non-secretome
Fam174c	108	Unknown	Membrane	Non-secretome
Tsc22d3	137	Other	Cytoplasm Nucleus	Non-secretome
Bhlhb9	539	Cytosol	Cytoplasm	Non-secretome
Adnp	1108	Nucleus	Nucleus	Non-secretome
Odad2	1037	Cytosol	Cytoplasm	Non-secretome
Abcf2	628	Cytosol	Cytosol	Non-secretome
Pld1	1074	Cytosol	Cytoplasm	Non-secretome
Klf17	341	Nucleus	Nucleus	Non-secretome
Snx6	406	Unknown	Early endosome membrane	Non-secretome
Ttr	147	Secreted	Secreted	Non-secretome
Actr6	396	Cytosol	Cytoplasm	Non-secretome
Arl13b	427	Unknown	Cell projection	Non-secretome
Pias4	507	Nucleus	Nucleus	Non-secretome
Ttc7b	843	Cytosol	Cytoplasm	Non-secretome
Prorsd1	169	Unknown	Unknown	Non-secretome
Serpina12	413	Secreted	Secreted	Non-secretome
Pid1	217	Cytosol	Cytoplasm	Non-secretome
Pck2	640	Other	Mitochondrion	Non-secretome
Kndc1	1742	Unknown	Cell projection	Non-secretome
Olfr958	312	Plasma membrane	Cell membrane	Non-secretome
Ctf1	203	Secreted	Secreted	Non-secretome
Fads2	444	ER	Endoplasmic reticulum membrane	Non-secretome
Myoz3	245	Cytosol	Cytoplasm	Non-secretome
Ltk	888	Plasma membrane	Cell membrane	Non-secretome
Lmntd1	413	Nucleoplasm	Nucleoplasm	Non-secretome
Rmdn1	305	Cytosol	Cytoplasm	Non-secretome
Zdhhc22	263	ER	Endoplasmic reticulum membrane	Non-secretome
Krtap19-2	141	Unknown	Unknown	Non-secretome
Shisal1	198	Unknown	Membrane	Non-secretome
Nr3c1	783	Cytosol	Cytoplasm	Non-secretome
Clint1	631	Cytosol	Cytoplasm	Non-secretome
Vsnl1	191	Cytosol	Cytosol	Non-secretome
B4galt6	382	Golgi	Golgi apparatus	Non-secretome
Elp1	1333	Cytosol	Cytoplasm	Non-secretome
Ccdc183	534	Unknown	Unknown	Non-secretome
Dcun1d2	259	Cytosol	Cytoplasm	Non-secretome
Slc25a17	307	Cytosol	Cytoplasm	Non-secretome
Cfap53	514	Unknown	Cell projection	Non-secretome
Fam207a	219	Unknown	Nucleus	Non-secretome
Jchain	159	Secreted	Secreted	Non-secretome
Apoc2	97	Secreted	Secreted	Non-secretome
Cdx2	311	Nucleus	Nucleus	Non-secretome
Mlkl	472	Cytosol	Cytoplasm	Non-secretome
Tbc1d25	742	Cytosol	Cytoplasm	Non-secretome
Nicn1	213	Nucleus	Nucleus	Non-secretome
Defb25	71	Secreted	Secreted	Non-secretome
Inpp5j	1003	Cytosol	Cytoplasm	Non-secretome
Prkaa2	552	Cytosol	Cytoplasm	Non-secretome
Smug1	279	Nucleus	Nucleus	Non-secretome
Tgfb1i1	461	Plasma membrane	Cell junction	Non-secretome
Gtf3c5	520	Nucleus	Nucleus	Non-secretome
Sap130	1057	Nucleus	Nucleus	Non-secretome
Fsip2	6995	Cytoskeleton mt	Microtubules	Non-secretome
Pik3c3	887	Unknown	Midbody	Non-secretome
Gemin5	1502	Nucleus	Nucleus	Non-secretome
Tert	1122	Nucleus	Nucleus	Non-secretome
Nog	232	Secreted	Secreted	Non-secretome
Krt12	487	Unknown	Unknown	Non-secretome
Spidr	933	Nucleus	Nucleus	Non-secretome
Ccl27	120	Secreted	Secreted	Non-secretome
Myl1	188	Unknown	Unknown	Non-secretome
Adgrl1	1466	Plasma membrane	Cell membrane	Non-secretome
Odf1	247	Unknown	Unknown	Non-secretome
Rftn2	500	Plasma membrane	Cell membrane	Non-secretome
Tbpl1	186	Cytosol	Cytoplasm	Non-secretome
Ptger1	405	Plasma membrane	Cell membrane	Non-secretome
Klra2	288	Unknown	Membrane	Non-secretome
Zbtb44	453	Nucleus	Nucleus	Non-secretome
Defb13	64	Secreted	Secreted	Non-secretome
Asb15	583	Unknown	Unknown	Non-secretome
Scrt1	348	Nucleus	Nucleus	Non-secretome
Fcsk	1090	Unknown	Unknown	Non-secretome
Fam221b	487	Unknown	Unknown	Non-secretome
Sipa1l1	1782	Cytosol	Cytoplasm	Non-secretome
Rtn1	780	ER	Endoplasmic reticulum membrane	Non-secretome
Abcc1	1528	Plasma membrane	Cell membrane	Non-secretome
Slc39a10	833	Unknown	Membrane	Non-secretome
Foxe1	371	Nucleus	Nucleus	Non-secretome
Timm10	90	Other	Mitochondrion inner membrane	Non-secretome
Ccdc43	222	Cytosol	Cytosol	Non-secretome
Zxdc	858	Nucleus	Nucleus	Non-secretome
Prkd3	889	Cytosol	Cytoplasm	Non-secretome
Kctd5	234	Cytosol	Cytoplasm	Non-secretome
Nop14	860	Nucleus	Nucleus	Non-secretome
Arhgef17	2057	Cytosol	Cytosol	Non-secretome
Gbp4	620	Cytosol	Cytoplasm	Non-secretome
Lsm6	80	Cytosol	Cytoplasm	Non-secretome
Uvssa	717	Chromatin	Chromosome	Non-secretome
Vrk2	503	Cytosol	Cytoplasm	Non-secretome
Tcf20	1987	Nucleus	Nucleus	Non-secretome
Slc66a3	202	Unknown	Membrane	Non-secretome
Proc	460	Secreted	Secreted	Non-secretome
Clcnkb	687	Plasma membrane	Cell membrane	Non-secretome
Capn12	720	Unknown	Focal adhesion sites	Non-secretome
Wnt5b	359	Secreted	Secreted	Non-secretome
Lrp12	858	Unknown	Membrane	Non-secretome
Zc3h15	426	Other	Cytoplasm Nucleus	Non-secretome
Slc22a5	557	Plasma membrane	Apical cell membrane	Non-secretome
Dscaml1	2053	Plasma membrane	Cell membrane	Non-secretome
Rmc1	657	Lysosome	Lysosome membrane	Non-secretome
Khdrbs3	346	Nucleus	Nucleus	Non-secretome
Tmem60	133	Unknown	Membrane	Non-secretome
H2al1a; H2al1c; H2al1d; H2al1f; H2al1g; H2al1h; H2al1i	105	Nucleus	Nucleus	Non-secretome
Spaca9	168	Cytosol	Cytoplasm	Non-secretome
Clba1	321	Nucleoplasm	Nucleoplasm	Non-secretome
Cggbp1	167	Nucleus	Nucleus	Non-secretome
Sntg2	539	Plasma membrane	Cell membrane	Non-secretome
Lonp1	949	Other	Mitochondrion matrix	Non-secretome
Gen1	908	Nucleus	Nucleus	Non-secretome
Angpt2	496	Secreted	Secreted	Non-secretome
Cmpk2	447	Other	Mitochondrion	Non-secretome
Tex44	530	Cytosol	Cytoplasm	Non-secretome
Tor1b	336	Other	Endoplasmic reticulum lumen Nucleus membrane	Non-secretome
Elof1	83	Nucleus	Nucleus	Non-secretome
Tonsl	1363	Cytosol	Cytoplasm	Non-secretome
Rabgap1l	815	Unknown	Early endosome	Non-secretome
Helb	1074	Nucleus	Nucleus	Non-secretome
Klhdc3	382	Cytosol	Cytoplasm	Non-secretome
Zbtb43	467	Nucleus	Nucleus	Non-secretome
Sdcbp2	292	Cytosol	Cytoplasm	Non-secretome
Reps1	795	Unknown	Membrane	Non-secretome
Kctd13	329	Nucleus	Nucleus	Non-secretome
Rplp2	115	Cytosol	Cytoplasm	Non-secretome
Igfbp6	238	Secreted	Secreted	Non-secretome
Cd8b	213	Unknown	Membrane	Non-secretome
Pip4p1	284	Unknown	Late endosome membrane	Non-secretome
Krt16	469	Cytoskeleton if	Intermediate filaments	Non-secretome
Cfap161	303	Unknown	Unknown	Non-secretome
Wnt1	370	Secreted	Secreted	Non-secretome
Rab8b	207	Plasma membrane	Cell membrane	Non-secretome
Pex3	372	Peroxisome	Peroxisome membrane	Non-secretome
Fam110c	421	Cytosol	Cytoplasm	Non-secretome
Ctxnd1	59	Unknown	Membrane	Non-secretome
Rax	342	Nucleus	Nucleus	Non-secretome
Umodl1	1319	Plasma membrane	Cell membrane	Non-secretome
Tm7sf3	565	Plasma membrane	Cell membrane	Non-secretome
Bnip3	187	Other	Mitochondrion Mitochondrion outer membrane	Non-secretome
Med16	828	Nucleus	Nucleus	Non-secretome
Gnas	1133	Plasma membrane	Cell membrane	Non-secretome
Pde12	608	Other	Mitochondrion matrix	Non-secretome
Gpx7	186	Secreted	Secreted	Non-secretome
Ccdc82	518	Nucleoplasm	Nucleoplasm	Non-secretome
Akr1c18	323	Cytosol	Cytoplasm	Non-secretome
Cd209c	178	Unknown	Unknown	Non-secretome
Tspan5	268	Plasma membrane	Cell membrane	Non-secretome
Ocm	109	Plasma membrane	Plasma membrane	Non-secretome
Bnip3l	218	Nucleus	Nucleus envelope	Non-secretome
Exoc8	716	Cytosol	Cytoplasm	Non-secretome
Lyzl4	145	Secreted	Secreted	Non-secretome
Trpm8	1104	Plasma membrane	Cell membrane	Non-secretome
Shcbp1	668	Unknown	Midbody	Non-secretome
Plcxd3	321	Cytosol	Cytoplasm	Non-secretome
Eno2	434	Cytosol	Cytoplasm	Non-secretome
Lztr1	837	Unknown	Endomembrane system	Non-secretome
Irf2bp1	584	Nucleus	Nucleus	Non-secretome
Cmklr1	371	Plasma membrane	Cell membrane	Non-secretome
Lenep	61	Unknown	Unknown	Non-secretome
Ssty1	232	Unknown	Unknown	Non-secretome
H2-D1	362	Unknown	Membrane	Non-secretome
Slc29a4	528	Plasma membrane	Cell membrane	Non-secretome
Fbxw5	573	Cytosol	Cytoplasm	Non-secretome
Nacad	1504	Cytosol	Cytoplasm	Non-secretome
Mtfr1l	289	Mitochondria	Mitochondria	Non-secretome
Kif26b	2112	Cytosol	Cytoplasm	Non-secretome
Top1mt	593	Other	Mitochondrion	Non-secretome
Cntd1	334	Nucleoplasm	Nucleoplasm	Non-secretome
Clcn3	818	Cytosol	Cytoplasmic vesicle	Non-secretome
Ift46	301	Cytosol	Cytoplasm	Non-secretome
Ttll12	639	Cytosol	Cytoplasm	Non-secretome
Synj2bp	145	Other	Mitochondrion outer membrane	Non-secretome
Copg2	871	Cytosol	Cytoplasm	Non-secretome
Clu	448	Secreted	Secreted	Non-secretome
Washc3	194	Unknown	Early endosome	Non-secretome
Tpp2	1262	Cytosol	Cytoplasm	Non-secretome
H2-T3	384	Unknown	Membrane	Non-secretome
Tmem204	226	Plasma membrane	Cell junction	Non-secretome
Nubp2	275	Nucleus	Nucleus	Non-secretome
Avpr1b	421	Plasma membrane	Cell membrane	Non-secretome
Srrm3	648	Plasma membrane	Plasma membrane	Non-secretome
Zbtb42	420	Cytosol	Cytoplasm	Non-secretome
Ostn	130	Secreted	Secreted	Non-secretome
Rab33b	229	Golgi	Golgi apparatus membrane	Non-secretome
Angpt4	509	Secreted	Secreted	Non-secretome
Arl2bp	163	Cytosol	Cytoplasm	Non-secretome
Reg3a	175	Secreted	Secreted	Non-secretome
Camta2	1208	Nucleus	Nucleus	Non-secretome
Hs3st1	311	Other	Golgi apparatus lumen	Non-secretome
Maz	477	Nucleus	Nucleus	Non-secretome
Mtap	283	Other	Cytoplasm Nucleus	Non-secretome
Pcnt	2898	Cytosol	Cytoplasm	Non-secretome
Hdgf	237	Nucleus	Nucleus	Non-secretome
Sinhcaf	221	Nucleus	Nucleus	Non-secretome
Guca2b	106	Secreted	Secreted	Non-secretome
Arhgap21	1944	Golgi	Golgi apparatus membrane	Non-secretome
Prdx5	210	Other	Mitochondrion	Non-secretome
Sbf1	1867	Cytosol	Cytoplasm	Non-secretome
Ifnlr1	535	Unknown	Membrane	Non-secretome
Defb41	65	Secreted	Secreted	Non-secretome
Cacng8	423	Plasma membrane	Cell membrane	Non-secretome
Nfam1	264	Plasma membrane	Cell membrane	Non-secretome
Stap1	297	Nucleus	Nucleus	Non-secretome
Tsga13	273	Vesicles	Vesicles	Non-secretome
Unc13c	2210	Cytosol	Cytoplasm	Non-secretome
Btbd11	1109	Unknown	Membrane	Non-secretome
Dffa	331	Cytosol	Cytoplasm	Non-secretome
Iqcj-Schip1	559	Unknown	Cell projection	Non-secretome
Hjurp	667	Nucleus	Nucleus	Non-secretome
Dlx4	240	Nucleus	Nucleus	Non-secretome
Ugt2a3	534	Unknown	Membrane	Non-secretome
Agpat4	378	ER	Endoplasmic reticulum membrane	Non-secretome
Prima1	153	Plasma membrane	Cell membrane	Non-secretome
Prdm8	687	Nucleus	Nucleus	Non-secretome
Igfals	603	Secreted	Secreted	Non-secretome
Tomm7	55	Other	Mitochondrion outer membrane	Non-secretome
Elf3	391	Cytosol	Cytoplasm	Non-secretome
Zbed6	980	Nucleus	Nucleus	Non-secretome
Wdr4	413	Nucleus	Nucleus	Non-secretome
Sh2d1b	132	Unknown	Unknown	Non-secretome
Epb41l3	929	Cytosol	Cytoplasm	Non-secretome
Kbtbd13	458	Cytosol	Cytoplasm	Non-secretome
Tlcd3a	257	Plasma membrane	Cell membrane	Non-secretome
Tnpo1	898	Cytosol	Cytoplasm	Non-secretome
Slc26a9	790	Plasma membrane	Cell membrane	Non-secretome
Prl8a6	240	Secreted	Secreted	Non-secretome
Itpripl1	547	Unknown	Membrane	Non-secretome
Kiaa0319	1081	Plasma membrane	Cell membrane	Non-secretome
Gcsam	181	Cytosol	Cytoplasm	Non-secretome
Esrp1	680	Nucleus	Nucleus	Non-secretome
Rab3a	220	Cytosol	Cytoplasm	Non-secretome
Efcab7	628	Unknown	Cell projection	Non-secretome
Mecom	1232	Nucleus	Nucleus	Non-secretome
Tfap2d	452	Nucleus	Nucleus	Non-secretome
Tnfrsf11a	625	Plasma membrane	Cell membrane	Non-secretome
Eif1ax	144	Unknown	Nucleus	Non-secretome
Sprr2g	76	Cytosol	Cytoplasm	Non-secretome
Tesk1	627	Cytosol	Cytoplasm	Non-secretome
Klra1	262	Unknown	Membrane	Non-secretome
Sf3b3	1217	Nucleus	Nucleus	Non-secretome
Cebpe	281	Nucleus	Nucleus	Non-secretome
Rbm22	420	Nucleus	Nucleus	Non-secretome
Mettl11b	283	Nucleus	Nucleus	Non-secretome
Ifi44	422	Cytosol	Cytoplasm	Non-secretome
Inpp5a	412	Plasma membrane	Cell membrane	Non-secretome
Atxn3	355	Nucleus	Nucleus	Non-secretome
Slco4a1	723	Plasma membrane	Cell membrane	Non-secretome
Scyl3	735	Cytosol	Cytoplasm	Non-secretome
Hoxb1	297	Nucleus	Nucleus	Non-secretome
Spi1	272	Nucleus	Nucleus	Non-secretome
